Jobp	Desc1	Desc2	Desc3	Desc4	Desc5	Fat1	Fat2	Fat3	Fat4	Fat5	Str1	Str2	Str3	Str4	Str5
CarryIncomingToDest	Aku tidak akan pernah memindahkan manusia tak sadarkan diri ke Staging Area	Saya jarang memindahkan manusia yang tidak sadarkan diri ke Staging Area	Saya kadang-kadang memindahkan manusia yang tidak sadarkan diri ke Area Pementasan	Saya terkadang memindahkan manusia yang tidak sadarkan diri ke Area Pementasan	Saya sering memindahkan manusia yang tidak sadarkan diri ke Staging Area										
CarryEnemyBodyToDest	Saya tidak akan pernah memindahkan mayat musuh ke Staging Area	Saya jarang memindahkan mayat musuh ke Staging Area	Saya sesekali memindahkan mayat musuh ke Staging Area	Saya terkadang memindahkan mayat musuh ke Staging Area	Saya sering memindahkan mayat musuh ke Staging Area										
CarryVisitorBodyToDest	Saya tidak akan pernah memindahkan mayat pengunjung ke Staging Area	Jarang sekali saya memindahkan jenazah pengunjung ke Staging Area	Saya sesekali memindahkan mayat pengunjung ke Staging Area	Saya terkadang memindahkan mayat pengunjung ke Staging Area	Saya sering memindahkan jenazah pengunjung ke Staging Area										
CarryIncomingBodyToDest	Saya tidak akan pernah memindahkan mayat manusia ke Area Pementasan	Saya jarang memindahkan mayat manusia ke Staging Area	Saya kadang-kadang memindahkan mayat manusia ke Area Pementasan	Saya terkadang memindahkan mayat manusia ke Area Pementasan	Saya sering memindahkan mayat manusia ke Staging Area										
HelpCarry	Saya tidak akan pernah membantu memindahkan barang	Saya jarang membantu memindahkan barang	Saya sesekali membantu memindahkan barang	Saya terkadang membantu memindahkan barang	Saya sering membantu memindahkan barang	0	-1	-1	-1	-1					
HelpTimber	Saya tidak akan pernah membantu menebang pohon	Saya jarang membantu menebang pohon	Saya sesekali membantu menebang pohon	Kadang-kadang saya membantu menebang pohon	Saya sering membantu menebang pohon										
HelpMine	Aku tidak akan pernah membantu milikku	Saya jarang membantu milik saya	Saya kadang-kadang membantu milik saya	Kadang-kadang aku membantu milikku	Saya sering membantu milik saya										
HelpFind	Saya tidak akan pernah mencari musuh	Saya jarang mencari musuh	Saya sesekali mencari musuh	Saya terkadang mencari musuh	Saya sering mencari musuh										
HelpKill	Saya tidak pernah menyembelih hewan	Saya jarang menyembelih hewan	Saya kadang-kadang menyembelih hewan	Saya terkadang menyembelih hewan	Saya sering menyembelih hewan										
HelpPlant	Saya tidak pernah buang air kecil pada tanaman	Saya jarang buang air kecil di tanaman	Saya sesekali buang air kecil di tanaman	Saya terkadang buang air kecil di tanaman	Saya buang air kecil di tanaman kapan pun saya bisa										
Pee	Saya tidak pernah buang air kecil pada tanaman	Saya jarang buang air kecil di tanaman	Saya sesekali buang air kecil di tanaman	Saya terkadang buang air kecil di tanaman	Saya buang air kecil di tanaman kapan pun saya bisa										
CureFreeze	Saya tidak akan pernah menyembuhkan Frostbite	Saya jarang menyembuhkan Frostbite	Saya kadang-kadang menyembuhkan Frostbite	Saya terkadang menyembuhkan Frostbite	Saya sering menyembuhkan Frostbite										
CureHot	Saya tidak akan pernah menyembuhkan Heatstroke	Saya jarang menyembuhkan Heatstroke	Saya kadang-kadang menyembuhkan Heatstroke	Saya terkadang menyembuhkan Heatstroke	Saya sering menyembuhkan Heatstroke										
HelpCook	Saya tidak akan pernah membantu memasak	Saya jarang membantu memasak	Saya sesekali membantu memasak	Saya terkadang membantu memasak	Saya sering membantu memasak										
HeatEndure	Saya tidak akan pernah menggunakan Refresh Spell pada murid	Saya jarang menggunakan Refresh Spell pada murid	Saya kadang-kadang menggunakan Refresh Spell pada murid	Saya terkadang menggunakan Refresh Spell pada murid	Saya sering menggunakan Refresh Spell pada murid										
ColdEndure	Saya tidak akan pernah menggunakan Mantra Tungku pada murid	Saya jarang menggunakan Mantra Tungku pada murid	Saya kadang-kadang menggunakan Mantra Tungku pada murid-murid	Saya terkadang menggunakan Mantra Tungku pada murid	Saya sering menggunakan Mantra Tungku pada murid										
HelpPlay	Saya tidak akan pernah menghibur para Murid	Saya jarang menghibur Murid	Saya kadang-kadang menghibur para Murid	Saya terkadang menghibur Murid	Saya sering menghibur Murid										
FeedTongXie	Saya tidak akan pernah memberikan obat pencahar kepada seorang Murid untuk dimakan	Saya jarang memberikan obat pencahar kepada Murid untuk dimakan	Saya kadang-kadang memberikan Pencahar kepada Murid untuk dimakan	Kadang-kadang saya memberikan obat pencahar kepada para Murid untuk dimakan	Saya sering memberikan obat pencahar kepada Murid untuk dimakan										
CureInner	Saya tidak akan pernah menggunakan obat mujarab untuk menyembuhkan cedera	Saya jarang menggunakan obat mujarab untuk menyembuhkan luka	Saya kadang-kadang menggunakan obat mujarab untuk menyembuhkan luka	Saya terkadang menggunakan obat mujarab untuk menyembuhkan luka	Saya sering menggunakan obat mujarab untuk menyembuhkan luka										
HealInner	Saya tidak akan pernah menggunakan obat mujarab untuk menyembuhkan cedera	Saya jarang menggunakan obat mujarab untuk menyembuhkan luka	Saya kadang-kadang menggunakan obat mujarab untuk menyembuhkan luka	Saya terkadang menggunakan obat mujarab untuk menyembuhkan luka	Saya sering menggunakan obat mujarab untuk menyembuhkan luka										
PlayToy	Saya tidak akan pernah bermain dengan mainan	Saya jarang bermain dengan mainan	Saya sesekali bermain dengan mainan	Saya terkadang bermain dengan mainan	Saya sering bermain dengan mainan										
TrainQiGan	Saya tidak pernah mengasah Qi saya	Saya jarang mengasah Qi saya	Saya sesekali mengasah Qi saya	Saya terkadang mengasah Qi saya	Saya sering mengasah Qi saya										
TrainNeiDan	Saya tidak akan pernah berlatih Core	Saya jarang berlatih Core	Saya kadang-kadang berlatih Inti	Saya terkadang berlatih Core	Saya sering berlatih Core						0	1	1	1	1
TrainHuTi	Aku tidak akan pernah mengasah Perlindunganku	Saya jarang mengasah Perlindungan saya	Saya sesekali mengasah Perlindungan saya	Saya terkadang mengasah Perlindungan saya	Saya sering mengasah Perlindungan saya										
TrainLingZhi	Saya tidak pernah mengasah kecerdasan saya	Saya jarang mengasah Akal saya	Saya sesekali mengasah Akal saya	Saya terkadang mengasah kecerdasan saya	Saya sering mengasah Akal saya										
TrainShuFa	Saya tidak pernah melatih Mantra saya	Saya jarang melatih Mantra saya	Saya kadang-kadang melatih Mantra saya	Saya kadang-kadang melatih Mantra saya	Saya sering melatih Mantra saya						0	1	1	1	1
HelpPlantD	Saya tidak pernah buang air kecil di Herb Garden	Saya jarang buang air kecil di Herb Gardens	Saya sesekali buang air kecil di Herb Gardens	Saya terkadang buang air kecil di Herb Gardens	Saya sering buang air kecil di Herb Gardens										
CarryOuterBodyToDest	Saya tidak akan pernah memindahkan mayat Murid Luar ke Area Pementasan	Saya jarang memindahkan mayat Murid Luar ke Area Pementasan	Saya sesekali memindahkan mayat Murid Luar ke Area Pementasan	Saya terkadang memindahkan mayat Murid Luar ke Area Pementasan	Saya sering memindahkan mayat Murid Luar ke Area Pementasan										
CarryInnerBodyToDest	Aku tidak akan pernah memindahkan mayat Murid Batin ke Area Pementasan	Saya jarang memindahkan mayat Murid Batin ke Area Pementasan	Saya sesekali memindahkan mayat Murid Batin ke Area Pementasan	Saya kadang-kadang memindahkan mayat Murid Batin ke Area Pementasan	Saya sering memindahkan mayat Murid Batin ke Area Pementasan										
Feed_Item_Dan_Happiness	Saya tidak akan pernah memberikan pil Euforia kepada Murid Batin	Saya jarang memberikan Pil Euforia kepada Murid Batin untuk dimakan	Saya kadang-kadang memberikan Pil Euforia kepada Murid Batin untuk dimakan	Saya kadang-kadang memberikan Pil Euforia kepada Murid Batin untuk dimakan	Saya sering memberikan Pil Euforia kepada Murid Batin untuk dimakan										
Feed_Item_Dan_PracticeSpeed	Saya tidak akan pernah memberikan Pil Kecambah kepada Murid Batin untuk dimakan	Saya jarang memberikan Pil Kecambah kepada Murid Batin untuk dimakan	Saya kadang-kadang memberikan Pil Kecambah kepada Murid Batin untuk dimakan	Saya kadang-kadang memberikan Pil Kecambah kepada Murid Batin untuk dimakan	Saya sering memberikan Pil Kecambah kepada Murid Batin untuk dimakan										
Feed_Item_Dan_CalmDown	Saya tidak akan pernah memberikan Pil Kemurnian kepada Murid Batin untuk dimakan	Saya jarang memberikan Pil Kemurnian kepada Murid Batin untuk dimakan	Saya kadang-kadang memberikan Pil Kemurnian kepada Murid Batin untuk dimakan	Saya terkadang memberikan Pil Kemurnian kepada Murid Batin untuk dimakan	Saya sering memberikan Pil Kemurnian kepada Murid Batin untuk dimakan										
Feed_Item_LingStone	Saya tidak akan pernah memberikan Batu Roh kepada Murid Batin	Saya jarang memberi makan Batu Roh kepada Murid Batin	Saya kadang-kadang memberi makan Batu Roh kepada Murid Batin	Saya terkadang memberi Batu Roh kepada Murid Batin	Saya sering memberi makan Batu Roh kepada Murid Batin										
Feed_Item_LingCrystal	Saya tidak akan pernah memberikan Kristal Roh kepada Murid Batin	Saya jarang memberi Kristal Roh kepada Murid Batin	Saya sesekali memberi Kristal Roh kepada Murid Batin	Saya terkadang memberi Kristal Roh kepada Murid Batin	Saya sering memberi Kristal Roh kepada Murid Batin										
BiteExpel	Saya tidak akan pernah menyerang manusia	Saya jarang menyerang manusia	Saya kadang-kadang menyerang manusia	Saya terkadang menyerang manusia	Saya sering menyerang dan membunuh manusia										
AtkDizzyExpel	Saya tidak akan pernah menyerang manusia yang tidak sadarkan diri	Saya jarang menyerang manusia yang tidak sadarkan diri	Saya kadang-kadang menyerang manusia yang tidak sadarkan diri	Saya terkadang menyerang manusia yang tidak sadarkan diri	Saya sering menyerang manusia yang tidak sadarkan diri										
CarryMortalToDest	Aku tidak akan pernah memindahkan manusia tak sadarkan diri ke Staging Area	Saya jarang memindahkan manusia yang tidak sadarkan diri ke Staging Area	Saya kadang-kadang memindahkan manusia yang tidak sadarkan diri ke Area Pementasan	Saya terkadang memindahkan manusia yang tidak sadarkan diri ke Area Pementasan	Saya sering memindahkan manusia yang tidak sadarkan diri ke Staging Area										
CarryMortalBodyToDest	Saya tidak akan pernah memindahkan mayat manusia ke Area Pementasan	Saya jarang memindahkan mayat manusia ke Staging Area	Saya kadang-kadang memindahkan mayat manusia ke Area Pementasan	Saya terkadang memindahkan mayat manusia ke Area Pementasan	Saya sering memindahkan mayat manusia ke Staging Area										
Eat_Item_SnakeGallbladder	Saya tidak akan pernah makan Empedu Ular, kecuali jika diberikan kepada saya	Saya sesekali makan Empedu Ular bila bermanfaat	Saya mungkin makan Empedu Ular jika berguna	Saya terkadang makan Empedu Ular jika bermanfaat	Saya sering makan Empedu Ular bila bermanfaat										
Eat_Item_BearGallbladder	Saya tidak akan pernah makan Bear Gall, kecuali jika diberikan kepada saya	Saya sesekali makan Bear Gall jika bermanfaat	Saya mungkin makan Bear Gall jika berguna	Saya terkadang makan Bear Gall jika berguna	Saya sering makan Bear Gall jika bermanfaat										
Eat_Item_RedGinseng	Saya tidak akan pernah makan Ginseng Merah, kecuali jika diberikan kepada saya	Saya sesekali makan Ginseng Merah bila bermanfaat	Saya mungkin makan Ginseng Merah jika bermanfaat	Saya terkadang makan Ginseng Merah jika bermanfaat	Saya sering makan Ginseng Merah bila bermanfaat										
Eat_Item_PurpleGanodermaLucidum	Saya tidak akan pernah makan Ganoderma Ungu, kecuali jika diberikan kepada saya	Saya sesekali makan Ganoderma Ungu jika bermanfaat	Saya mungkin makan Ganoderma Ungu jika bermanfaat	Saya terkadang makan Ganoderma Ungu jika bermanfaat	Saya sering makan Ganoderma Ungu jika bermanfaat										
Eat_Item_TuEssence	Saya tidak akan pernah makan Ochre Essence, kecuali jika diberikan kepada saya	Saya sesekali makan Ochre Essence jika bermanfaat	Saya mungkin memakan Ochre Essence jika berguna	Saya terkadang memakan Ochre Essence jika berguna	Saya sering makan Ochre Essence jika bermanfaat										
Eat_Item_HuoEssence	Saya tidak akan pernah makan Buah Merah, kecuali jika diberikan kepada saya	Saya sesekali makan Buah Crimson jika bermanfaat	Saya mungkin makan Buah Crimson jika berguna	Saya terkadang makan Buah Crimson jika berguna	Saya sering makan Buah Crimson jika bermanfaat										
Eat_Item_ShuiEssence	Saya tidak akan pernah makan Prism Lotus, kecuali jika diberikan kepada saya	Saya sesekali makan Prism Lotus jika bermanfaat	Saya mungkin memakan Prism Lotus jika berguna	Saya terkadang makan Prism Lotus jika berguna	Saya sering makan Prism Lotus jika bermanfaat										
Eat_Item_JinEssence	Saya tidak akan pernah makan Buah Sagacity, kecuali jika diberikan kepada saya	Saya sesekali makan Buah Sagacity bila bermanfaat	Saya mungkin memakan Buah Sagacity jika berguna	Saya terkadang makan Buah Sagacity jika bermanfaat	Saya sering makan Buah Sagacity jika bermanfaat										
Eat_Item_MuEssence	Saya tidak akan pernah memakan Gnarled Vine, kecuali jika diberikan kepada saya	Saya sesekali makan Gnarled Vine jika bermanfaat	Saya mungkin memakan Gnarled Vine jika berguna	Saya terkadang makan Gnarled Vine jika berguna	Saya sering makan Gnarled Vine jika bermanfaat										
Eat_Item_LifeStream	Saya tidak akan pernah meminum Life Spring, kecuali jika diberikan kepada saya	Saya sesekali meminum Life Spring jika bermanfaat	Saya mungkin meminum Life Spring jika berguna	Saya terkadang meminum Life Spring jika bermanfaat	Saya sering meminum Life Spring jika bermanfaat										
Eat_Item_LongEgg	Saya tidak akan pernah memakan Telur Naga Banjir, kecuali jika diberikan kepada saya	Saya sesekali makan Telur Naga Banjir	Saya mungkin makan Telur Naga Banjir	Saya terkadang makan Telur Naga Banjir	Saya sering makan Telur Naga Banjir										
Eat_Item_FengEgg	Saya tidak akan pernah makan Telur Phoenix, kecuali jika diberikan kepada saya	Saya sesekali makan Telur Phoenix	Saya mungkin makan Telur Phoenix	Saya terkadang makan Telur Phoenix	Saya sering makan Telur Phoenix										
Eat_Item_DragonShit	Saya tidak akan pernah makan Kotoran Naga, kecuali jika diberikan kepada saya	Saya sesekali makan Kotoran Naga	Saya mungkin makan Kotoran Naga	Saya terkadang makan Kotoran Naga	Saya sering makan Kotoran Naga										
Eat_Item_Jiaozi	Saya tidak akan pernah makan Pangsit, kecuali jika diberikan kepada saya	Saya sesekali makan Pangsit	Saya mungkin makan pangsit	Saya terkadang makan pangsit	Saya sering makan pangsit										
Eat_Item_BossFeng_Meat	Saya tidak akan pernah makan Daging Phoenix, kecuali jika diberikan kepada saya	Saya sesekali makan Daging Phoenix	Saya mungkin makan Daging Phoenix	Saya terkadang makan Daging Phoenix	Saya sering makan Daging Phoenix										
Eat_Item_BossLong_Meat	Saya tidak akan pernah makan Daging Naga, kecuali jika diberikan kepada saya	Saya sesekali makan Daging Naga	Saya mungkin makan Daging Naga	Saya terkadang makan Daging Naga	Saya sering makan Daging Naga										
Eat_Item_BossZhuLong_Meat	Saya tidak akan pernah makan Daging Purba, kecuali jika diberikan kepada saya	Saya kadang-kadang makan Daging Purba	Saya mungkin makan Daging Purba	Saya terkadang makan Daging Purba	Saya sering makan Daging Purba										
Eat_Item_Cake	Saya tidak akan pernah makan Roti, kecuali roti itu diberikan kepada saya	Saya sesekali makan Roti	Saya mungkin makan Roti	Saya terkadang makan Roti	Saya sering makan Roti										
Eat_Item_MonsterBlood	Saya tidak akan pernah makan Darah Binatang, kecuali jika diberikan kepada saya	Saya kadang-kadang makan Beast Blood jika berguna	Saya mungkin memakan Beast Blood jika berguna	Saya terkadang memakan Beast Blood jika berguna	Saya sering makan Beast Blood jika berguna										
Eat_Item_EarthEssence	Saya tidak akan pernah meminum Earth Flux, kecuali jika diberikan kepada saya	Saya sesekali meminum Earth Flux jika bermanfaat	Saya mungkin meminum Earth Flux jika berguna	Saya terkadang meminum Earth Flux jika bermanfaat	Saya sering meminum Earth Flux jika bermanfaat										
Eat_Item_SilverGrit	Saya tidak akan pernah makan Bubuk Kristal Es, kecuali jika diberikan kepada saya	Saya sesekali makan Es Kristal Bubuk jika bermanfaat	Saya mungkin akan memakan Bubuk Kristal Es jika berguna	Saya terkadang makan Es Kristal Bubuk jika bermanfaat	Saya sering makan Es Kristal Bubuk bila bermanfaat										
Eat_Item_CopperGrit	Saya tidak akan pernah makan Igneocopper Powder, kecuali jika diberikan kepada saya	Saya sesekali makan Igneocopper Powder jika bermanfaat	Saya mungkin akan memakan Bubuk Igneocopper jika berguna	Saya terkadang makan Igneocopper Powder jika berguna	Saya sering makan Igneocopper Powder jika bermanfaat										
Eat_Item_Cinnabar	Saya tidak akan pernah makan Cinnabar, kecuali jika diberikan kepada saya	Saya sesekali makan Cinnabar jika bermanfaat	Saya mungkin makan Cinnabar jika berguna	Saya terkadang makan Cinnabar jika berguna	Saya sering makan Cinnabar jika bermanfaat										
Eat_Item_LingMuXueJie	Saya tidak akan pernah makan Resin Essence, kecuali jika diberikan kepada saya	Saya sesekali makan Resin Essence jika bermanfaat	Saya mungkin memakan Resin Essence jika berguna	Saya terkadang memakan Resin Essence jika berguna	Saya sering makan Resin Essence jika bermanfaat										
Eat_Item_EarthEssence_1	Saya tidak akan pernah memakan Esensi Suci, kecuali jika diberikan kepada saya	Saya sesekali memakan Dzat Suci bila bermanfaat	Saya mungkin memakan Esensi Suci jika berguna	Saya terkadang memakan Dzat Suci jika berguna	Saya sering memakan Dzat Suci jika bermanfaat										
Eat_Item_EarthEssence1_1	Saya tidak akan pernah memakan Esensi Jahat, kecuali jika diberikan kepada saya	Saya sesekali memakan Evil Essence jika berguna	Saya mungkin memakan Evil Essence jika berguna	Saya terkadang memakan Evil Essence jika berguna	Saya sering makan Evil Essence jika bermanfaat										
Eat_Item_Healroot	Saya tidak akan pernah makan Healing Herbs, kecuali jika diberikan kepada saya	Saya sesekali makan Healing Herb jika bermanfaat	Saya mungkin memakan Healing Herb jika berguna	Saya terkadang memakan Healing Herb jika berguna	Saya sering makan Healing Herb jika bermanfaat										
Eat_Item_Mint	Saya tidak akan pernah makan Purity Leaf, kecuali jika diberikan kepada saya	Saya sesekali makan Purity Leaf jika bermanfaat	Saya mungkin memakan Purity Leaf jika berguna	Saya terkadang makan Purity Leaf jika bermanfaat	Saya sering makan Purity Leaf jika bermanfaat										
Eat_Item_MagicHerb	Saya tidak akan pernah memakan Daun Roh, kecuali jika diberikan kepada saya	Saya sesekali makan Spirit Leaf jika bermanfaat	Saya mungkin makan Spirit Leaf jika berguna	Saya terkadang makan Spirit Leaf jika berguna	Saya sering makan Spirit Leaf jika bermanfaat										
Eat_Item_Laxative	Saya tidak akan pernah makan obat pencahar, kecuali jika diberikan kepada saya	Saya kadang-kadang makan Pencahar bila berguna	Saya mungkin makan Pencahar jika berguna	Saya terkadang makan Pencahar jika berguna	Saya sering makan obat pencahar bila berguna										
ESkill	Saya tidak akan mengambil inisiatif untuk menggunakan mantra pada Musuh	Saya akan menggunakan Keterampilan pada Musuh dengan Qi terendah	Saya akan menggunakan Keterampilan pada Musuh dengan persentase Qi terendah	Saya akan menggunakan Keterampilan pada Musuh dengan Qi tertinggi	Saya akan menggunakan Keterampilan pada Musuh acak										
FSkill	Saya tidak akan mengambil inisiatif untuk menggunakan mantra pada Sekutu	Saya akan menggunakan Skill pada Sekutu dengan Qi terendah	Saya akan menggunakan Skill pada Sekutu dengan persentase Qi terendah	Saya akan menggunakan Skill pada Sekutu dengan Qi tertinggi	Saya akan menggunakan Keterampilan pada Sekutu secara acak										
Eat_Item_Bamboo	Saya tidak akan pernah makan bambu, kecuali bambu tersebut diberikan kepada saya.	Saya sesekali makan bambu.	Saya mungkin makan bambu.	Saya terkadang makan bambu.	Saya sering makan bambu.										
Eat_Item_BambooShoot	Saya tidak akan pernah memakan rebung, kecuali jika diberikan kepada saya.	Saya sesekali makan rebung.	Saya mungkin makan rebung.	Saya terkadang makan rebung.	Saya sering makan rebung.										
Eat_Item_WuDang_HuangJingFen	Saya tidak akan pernah makan Bubuk Esensi Tanah, kecuali jika diberikan kepada saya	Saya sesekali makan Soil Essence Powder jika bermanfaat	Saya mungkin memakan Bubuk Esensi Tanah jika bermanfaat	Saya terkadang makan Soil Essence Powder jika bermanfaat	Saya sering makan Soil Essence Powder jika bermanfaat										
Eat_Item_Dan_WuQiNoHunger2	Saya tidak akan pernah makan Pil Puasa Qi, kecuali jika diberikan kepada saya	Saya sesekali makan Qi Fasting Pill jika bermanfaat	Saya mungkin makan Pil Puasa Qi jika bermanfaat	Saya terkadang makan Qi Fasting Pill jika bermanfaat	Saya sering makan Qi Fasting Pill jika bermanfaat										
