ID	Flag	Desc	Txt	Pic	Link	Voice
29	1	Seseorang telah menerima Cedera Batin.	Anda memiliki Karakter yang terluka karena Qi yang tidak normal, lihat menu Kesehatan untuk informasi lebih lanjut tentang cedera tersebut. Obat tidak dapat digunakan untuk menyembuhkan luka karena Qi yang tidak normal, melainkan Anda harus menggunakan [color=#D06508]Elixir[/color] yang dibuat di Alchemy Furnace dan secara manual memerintahkan orang yang terluka untuk mengkonsumsinya. Kecepatan penyembuhan cedera jenis ini bergantung pada [color=#D06508]kemampuan pemulihan karakter yang terluka[/color] dan [color=#D06508]kualitas Elixir[/color] yang digunakan. Jika orang yang terluka tidak kunjung pulih setelah disembuhkan, cobalah untuk memperbaiki satu atau lebih dari hal tersebut.	ui\Help2_en\033	25	m29
30	1	Anda telah mencapai batas.	Pelatihan salah satu kultivator Anda telah mencapai Batas. Saat para kultivator berlatih, adalah normal untuk menemukan Batasan, tetapi hanya dengan menerobosnya mereka dapat melanjutkan Pelatihan. Ada berbagai cara berbeda untuk menembus Batas yang berbeda-beda, bergantung pada ciri-ciri Batas yang dimaksud. Pertimbangkan hal-hal tersebut untuk meningkatkan kemampuan kultivator untuk menembus Batas.	ui\Help2_en\034	65	m30
31	1	Mood Anda turun di bawah 50	Ada yang salah dengan Mood salah satu kultivator Anda. Suasana hati adalah statistik yang penting untuk diperhatikan, apa pun aktivitas yang dilakukan karakter. Anda dapat menyesuaikan suasana hati Karakter di menu Karakter menggunakan [color=#D06508]Opsi mode pelatihan[/color].	ui\Help2_en\035	64	m31
32	1	Pertama kali jatuh ke sisi iblis	Anda memiliki seorang kultivator yang terpesona. Kultivator tidak akan mengendur, tetapi jika [color=#D06508]Suasana hati mereka buruk dalam jangka waktu lama[/color], mereka akan terpesona. Karakter yang terpesona kehilangan kendali dan yang dapat Anda lakukan hanyalah menunggu hingga mereka pulih. Pastikan untuk tidak membiarkan suasana hati kultivator anda turun terlalu rendah, jika tidak mereka akan terpesona.	ui\Help2_en\036	64	m32
33	1	Anda telah berhasil membentuk Core untuk pertama kalinya.	Salah satu kultivator Anda telah mempelajari cara membentuk Inti Emas! Pembentuk Inti Emas dapat melawan Murid. Memiliki Qi yang sangat besar dan menguasai Keajaiban adalah ambang batas penting dalam pelatihan. Perhatian: Latihan setelah membentuk Inti Emas sangatlah sulit, pemain harus [color=#D06508]menggunakan Keajaiban[/color] (seperti Meditasi) atau melakukan Petualangan Tak disengaja saat [color=#D06508]Bertualang[/color] agar dapat dengan cepat Berkultivasi.	ui\Help2_en\037		m33
34	1	Anda telah melakukan Smelted untuk pertama kalinya.	Setelah Anda memiliki murid batin, Anda dapat melebur barang-barang yang tidak diperlukan menjadi batu roh. Setiap 5.000 Qi dalam item berarti satu batu roh diproduksi. Jika barang yang dicium adalah artefak, semakin tinggi tingkatannya, semakin banyak batu roh yang akan diproduksi.	ui\Help2_en\038	68	m34
35	1	Anda belajar bagaimana melakukan Keajaiban	Salah satu kultivator Anda telah mempelajari cara melakukan Keajaiban. Keajaiban dapat dilakukan melalui bagian Keajaiban di sisi kanan Menu Karakter. Menggunakan Miracles dengan bijak dapat menarik Anda keluar dari situasi sulit. Seiring kemajuan Status Latihan, karakter dapat mempelajari lebih banyak Keajaiban. Dari waktu ke waktu, karakter mungkin menemukan Manual yang berisi Keajaiban yang terekam di dalamnya saat melakukan Petualangan.	ui\Help2_en\039	69	m35
36	1	Anda telah menemukan Rahasia untuk pertama kalinya.	Anda telah memperoleh Rahasia. Pemain dapat melanjutkan ke lokasi Rahasia untuk memicunya dan mencoba mendapatkan hadiah.　Rahasia biasanya memiliki imbalan besar yang menunggu, tetapi itu tergantung pada Keberuntungan. Jika Anda menemukan Rahasia yang tidak dapat Anda selesaikan, jangan khawatir.	ui\Help2_en\040	610	m36
37	1	Anda sekarang dapat membaca mantra	Salah satu kultivator Anda telah mempelajari mantra. Mantra hanya bisa digunakan dalam pertempuran. Mantra dapat digunakan dengan mengakses bagian Mantra di sisi kanan Menu Karakter. Mantra sangat kuat, tetapi mengkonsumsi Qi, jadi harus digunakan dengan hati-hati.	ui\Help2_en\041		m37
38	1	Anda punya pengunjung	Sekte Anda kedatangan pengunjung. Anda dapat mencoba membujuknya untuk bergabung dengan Sekte Anda. Saat membujuk pengunjung, semakin tinggi [color=#D06508]Karisma dan Keterampilan Sosial si pembujuk[/color], semakin tinggi pula [color=#D06508]Suasana Hati pengunjung[/color] dan dengan demikian akan semakin mudah membujuknya untuk tetap tinggal.	ui\Help2_en\042		m38
39	0	Anda telah membuka menu Inspirasi untuk pertama kalinya.	Anda telah membuka menu Inspirasi. Anda dapat merencanakan dan meningkatkan kemampuan karakter di menu ini. Meningkatkan kemampuan karakter membutuhkan konsumsi pengalaman. Semakin kuat kemampuan suatu karakter, semakin tinggi Pencapaiannya dan semakin tinggi pula jumlah pengalaman yang dibutuhkan. XP terutama berasal dari Pelatihan harian atau dapat diperoleh saat bertualang.	ui\Help2_en\043		m39
40	0	Buka halaman Formasi untuk pertama kalinya.	Anda telah membuka halaman Formasi. Di halaman ini, Anda dapat mengatur Formasi tempat kekuatan para penggarap berkumpul sebagai satu kesatuan organik. Karakter yang membentuk Formasi dapat berbagi damage sekaligus melancarkan serangan bersama-sama.	ui\Help_en\041	75	m40
41	1	Buka menu Hadiah untuk pertama kalinya.	Anda telah membuka menu Hadiah. Pilih sumber daya di sebelah kanan dan klik 'Hadiah'. Anda dapat melakukan kunjungan formal ke sekte lain, melakukan tugas, atau memberikan barang favorit kepada pemimpin sekte melalui 'Hadiah'.		80	m41
42	1	Buka menu Perdagangan untuk pertama kalinya.	Anda telah membuka menu Perdagangan. Sumber daya sekte lain ditampilkan di sebelah kiri, dan sumber daya kami di sebelah kanan. Pilih sumber daya dari kedua sisi lalu klik 'Perdagangan'. Barang yang berbeda memiliki harga yang berbeda; Anda harus menemukannya sendiri.		80	m42
43	1	Buka menu Agensi untuk pertama kalinya.	Anda telah membuka menu Perluas. Dalam menu ini, Anda dapat melihat informasi tentang lokasi ini, dan memilih kebijakan atau memulai pembangunan. Anda juga dapat mengirim murid ke sini. Melalui berbagai kebijakan, Anda bisa memiliki lebih banyak pengikut.		85	m43
44	1	Buka menu Force untuk pertama kalinya.	Anda telah membuka menu Daya. Dalam menu ini, Anda dapat menangani peristiwa di lokasi berbeda atau mengklaim sumber daya di penyimpanan. Klik ikon suatu lokasi untuk membuka menu Perluas lokasi ini.		85	m44
45	1	Buka menu Rekrut untuk pertama kalinya.	Anda telah membuka menu Rekrut. Di menu ini, Anda dapat mengirimkan karakter yang direkrut ke sekte atau agensi lain.		85	m45
46	0	Dapatkan Hukum Shendao untuk pertama kalinya.	Anda telah memperoleh Hukum Shendao. Berbeda dari Hukum tradisional budidaya Inti Emas, metode ini memungkinkan Anda meningkatkan kekuatan dengan mengumpulkan keyakinan, membangun Alam Ilahi, dan menunjuk Penjaga. Informasi selengkapnya dapat dilihat di Bantuan.		91	m46
47	0	Buat Relik Suci untuk pertama kalinya.	Anda telah membuat relik suci Anda sendiri, yang merupakan artefak pilihan kultivator Shendao. Seiring dengan berkembangnya Alam Ilahi secara bertahap, relik suci Anda akan tumbuh menjadi senjata ampuh yang melampaui batasan apa pun.		97	m47
48	0	Membangun Alam Ilahi untuk pertama kalinya.	Anda telah membangun Alam Ilahi Anda sendiri. Membangun Alam Ilahi adalah inti dari Hukum Shendao. Dengan membangun Alam Ilahi Anda sendiri, Anda dapat dilindungi oleh penjaga, mempelajari keajaiban, mendapatkan pengikut, dll.		98	m48
49	0	Buka halaman Misteri di menu Rahasia untuk pertama kalinya.	Anda telah membuka halaman Misteri. Saat menyelidiki kehancuran Sekte Taiyi, Anda akan menemukan berbagai misteri, yang dapat ditemukan di halaman Misteri. Anda perlu mengumpulkan informasi yang cukup untuk memecahkan misteri ini dan mengungkap kebenaran.		101	m49
50	0	Buka halaman Karakter di menu Rahasia untuk pertama kalinya.	Anda telah membuka halaman Karakter. Itu mencatat informasi berbagai karakter yang Anda temui di sepanjang jalan. Manfaatkan informasi dengan baik dan raih keuntungan di dunia kultivator.		102	m50
51	0	Buka halaman Clue di menu Rahasia untuk pertama kalinya.	Anda telah membuka halaman Petunjuk. Itu mencatat semua petunjuk yang diperoleh selama bermain game, termasuk peserta, motif, dan bukti. Tidak semua petunjuk berguna. Anda perlu memiliki penilaian sendiri tentang keasliannya.		103	m51
52	0	Berkomunikasi dengan orang lain untuk pertama kalinya.	Anda sekarang akan mulai berkomunikasi dengan karakter. Setelah pembaruan konten Mortal Realm, setiap karakter diberkahi dengan sifat dan kepribadiannya masing-masing. Sesuai dengan kebutuhan yang berbeda, Anda dapat memperoleh informasi tentang target Anda, mengajukan pertanyaan, dan memperoleh harta karun yang Anda sukai.		104	m52
53	0	Karakter naik, mati, atau dikeluarkan untuk pertama kalinya.	Untuk setiap karakter yang telah Ascended, dikeluarkan dari Sekte atau mati, apa yang terjadi selanjutnya pada karakter ini dapat ditemukan di Epilog Karakter mereka. Setelah menyimpan, Anda dapat melihat apa yang terjadi selanjutnya dengan karakter-karakter ini di Epilog di menu utama.		P11	m53
54	0	Bangun Paviliun Manual untuk pertama kalinya.	Anda telah membangun Paviliun Manual. Karakter dapat menggunakan rak untuk menyalin dan mengelola manual. Setiap Rak memiliki Kapasitasnya masing-masing. Semakin banyak Pencapaian yang diperlukan untuk mempelajari suatu Manual, semakin banyak ruang yang akan ditempati oleh Manual tersebut di Rak.		P12	m54
55	0	Gunakan fitur Blueprint untuk pertama kalinya.	Anda menggunakan fitur Cetak Biru. Anda dapat menarik dan memilih area bangunan yang luasnya tidak lebih dari 20*20 ruang kapan saja dan menyimpannya sebagai cetak biru. Cetak biru yang disimpan dapat digunakan di semua game yang disimpan dan dibagikan melalui Lokakarya.		P13	m55
56	0	Tindakan Batch	Anda mengeluarkan perintah untuk tugas batch. Banyak pesanan (misalnya Place, Haul, dll.) dapat diterbitkan secara batch. Klik dua kali, seret dan pilih atau tekan tombol Shift untuk memilih beberapa unit dan menjalankan pesanan secara batch.	ui\Help2_en\072		m56
57	0	Pilih hewan peliharaan untuk pertama kalinya.	Anda telah memilih hewan peliharaan. Hewan peliharaan memiliki berbagai jenis perilaku, beberapa di antaranya lebih bermanfaat untuk membangun Sekte, yang lain bermanfaat untuk pertempuran, dan yang lainnya masih tidak biasa. Perilaku ini dapat dilatih dan kondisi terjadinya dapat diubah sehingga hewan peliharaan dapat berkembang ke arah yang diinginkan.		111	m57
58	0	Buka menu Pelatihan untuk pertama kalinya.	Anda telah membuka menu Pelatihan. Di sini, Anda dapat memilih untuk mendorong atau mencegah lima perilaku terakhir untuk mengubah kondisi saat hewan peliharaan melakukan perilaku tersebut.		111	m58
59	0	Buka menu Base Stats untuk pertama kalinya.	Anda telah membuka menu Statistik Dasar. Di sini, Anda dapat melihat semua Statistik Dasar, Statistik Pertempuran, Pertumbuhan hewan peliharaan, serta keajaiban dan mantra yang telah atau belum dibuka. Di sini kamu juga bisa mendapatkan informasi status terkini hewan peliharaan sehingga kamu bisa membesarkannya sesuai keinginanmu.		111	m59
60	0	Buka menu Resep untuk pertama kalinya.	Anda telah membuka menu Resep. Di sini, Anda dapat melihat nilai gizi dari semua makanan yang dikonsumsi hewan peliharaan Anda. Menggunakan item dengan nilai gizi berbeda dapat meningkatkan efek latihan tertentu. Mereka mungkin juga mempunyai efek positif atau negatif pada fisik/obesitas hewan peliharaan.		111	m60
61	0	Pilih hewan peliharaan di Status Kebangkitannya untuk pertama kalinya.	Anda telah memilih hewan pada Kondisi Kebangkitannya. Periksa status dasar dan kenyamanan seekor hewan di panel hewan. Semakin tinggi kenyamanan hewan peliharaan, semakin cepat Pecahan Pikirannya dihasilkan. Hewan juga dapat dikirim untuk mengamati semua jenis Bangunan, Barang, dan Tumbuhan untuk mendapatkan Pecahan Pikiran khusus, ini sangat membantu untuk mengumpulkan Pecahan Pikiran.		111	m61
62	0	Buka menu Intelegensi dan Berpikir untuk pertama kalinya.	Anda telah membuka menu Intelegensi dan Berpikir. Di sini, Anda dapat melihat jumlah Intelligence Shards, Thoughts, dan Stamina yang Anda miliki saat ini. Pecahan Intelijen adalah sumber daya khusus untuk hewan yang belum sepenuhnya berubah bentuk. Pecahan ini dapat meningkatkan sebagian Statistiknya, menjadikannya sangat berharga. Jika Anda ingin hewan peliharaan melakukan perubahan bentuk, diperlukan Stamina dan Pecahan Intelijen dalam jumlah yang cukup. Setelah hewan peliharaan menyelesaikan setengah perubahan bentuk, mereka harus mengalami Kesengsaraan Surgawi Perubahan Bentuk. Jika hal ini terjadi karena jumlah Pecahan Intelijen, semakin banyak yang Anda miliki, semakin cepat Kesengsaraan Surgawi yang Berubah Bentuk, jadi pilihlah dengan hati-hati.		111	m62
63	0	Buka menu Berpikir dan Berpikir untuk pertama kalinya.	Anda telah membuka menu Berpikir dan Berpikir. Di sini, Anda dapat melihat Pecahan Pikiran, Kenangan, dan Pikiran yang Anda miliki saat ini. Tiga Pecahan Pikiran dengan jenis yang sama diperlukan untuk terlibat dalam Berpikir dan menghasilkan Pikiran. Setelah Pemikiran selesai, semua Pecahan Pikiran akan dilupakan dan Pecahan Pemikiran dalam Memori akan disimpan jika tidak digunakan lebih dari beberapa kali. Pemikiran yang diperoleh juga akan kedaluwarsa setelah Berpikir beberapa kali dan Statistik satu jenis Pemikiran tidak akan berlaku berkali-kali, jadi pilihlah dengan bijak.		111	m63
64	0	Buka menu Perilaku untuk pertama kalinya.	Anda telah membuka menu Perilaku. Di sini, Anda dapat memeriksa pentingnya perilaku di masa lalu, serta semua perilaku hewan peliharaan Anda selama tiga hari terakhir.		111	m64
65	0	Pelajari pelatihan fisik untuk pertama kalinya.	Anda telah memilih Hukum pelatihan fisik, ini adalah sistem Latihan baru di mana esensi digunakan untuk membentuk kembali tubuh Anda. Pada akhirnya, Anda bisa Naik, menjadi abadi. Untuk detailnya, silakan merujuk ke Bantuan.		131	m65
66	0	Pilih objek yang diterangi untuk pertama kalinya.	Anda telah memilih objek yang menyala. Tingkat objek akan meningkat setelah objek tersebut menyala. Selain itu, dengan mengonsumsi item lain, objek yang diterangi dapat mengubah rasio Lima Elemen tubuhnya sendiri untuk mempersiapkan Perubahan Bentuk. Untuk detailnya, silakan merujuk ke Bantuan.		141	m66
67	0	Buka menu Remold untuk pertama kalinya.	Anda telah membuka menu Remold. Di sini, Anda dapat memilih berbagai cara untuk melakukan Remold dan Anda juga dapat berkembang dengan mengeluarkan Essence yang berbeda untuk membentuk kembali seluruh bagian tubuh Anda.		131	m67
