ID	Name	Desc	EndDesc
15	Mewujudkan Keajaiban	Dikatakan bahwa telah ada Ukiran Batu Tebing Naga yang digali di [TXT], kemungkinan merupakan manifestasi dari keajaiban kuno yang hilang. Namun, karena campur tangan mekanisme energi Qi antara langit dan bumi, tanah di sekitar lokasi penggalian telah diselimuti embun beku ([temperature]-150[/temperature]).	Seorang kultivator misterius telah mengambil keajaiban misterius ini.
16	Mewujudkan Keajaiban	Dikatakan bahwa telah ada Ukiran Batu Tebing Naga yang digali di [TXT], kemungkinan merupakan manifestasi dari keajaiban kuno yang hilang. Namun, karena adanya campur tangan mekanisme energi Qi antara langit dan bumi, tanah di sekitar situs yang digali telah dikelilingi oleh api neraka ([temperature]500[/temperature]).	Seorang kultivator misterius telah mengambil keajaiban misterius ini.
17	Jejak Sekte Jahat	Murid sekte jahat terlihat berkeliaran di [TXT], yang sepertinya merencanakan sesuatu.	Murid jahat yang muncul di [TXT] telah pergi.
18	Jejak Sekte Jahat	Murid elit sekte jahat terlihat berkeliaran di [TXT], yang sepertinya merencanakan sesuatu.	Murid jahat yang muncul di [TXT] telah pergi.
19	Jejak Sekte Jahat	Tetua sekte jahat terlihat berkeliaran di [TXT], yang sepertinya merencanakan sesuatu.	Murid jahat yang muncul di [TXT] telah pergi.
20	Jejak Sekte Adil	Hanya murid sekte yang terlihat berkeliaran di [TXT], yang sepertinya merencanakan sesuatu.	Murid-murid adil yang muncul di [TXT] telah pergi.
21	Jejak Sekte Adil	Hanya murid elit sekte yang terlihat berkeliaran di [TXT], yang sepertinya merencanakan sesuatu.	Murid-murid adil yang muncul di [TXT] telah pergi.
22	Jejak Sekte Adil	Hanya sesepuh sekte yang terlihat berkeliaran di [TXT], yang sepertinya merencanakan sesuatu.	Murid-murid adil yang muncul di [TXT] telah pergi.
23	Rahasia Harta Karun	Menurut The Windtamer's Travels: Volume VI, Master Leluhur Hunyuan diserang oleh enam sekte jahat di Wormwrought Valley of Wild South, dan harta paling berharga yang dia bawa hilang di lembah.	
24	Rahasia Harta Karun	Menurut Catatan Tambahan: Buku III dari III, Pulau Exultant diwujudkan dari sisa-sisa Naga Archaean setelah Kenaikannya. Danau Naga Racun di pulau ini dikatakan sebagai lokasi Naga Archaean. Di dalamnya ada dunia tersendiri.	
25	Rahasia Harta Karun	Menurut The Windtamer's Travels: Volume I, ada satu lagi gua dalam misterius di bawah Remains of Immortal Doctor's Cave di Alchemist's Peak.	
26	Rahasia Harta Karun	Menurut Catatan Rahasia Tao: The Great Desert Chronicles, gurun ini terbentuk karena meteorit yang jatuh dari langit pada periode Archaean kuno.	
27	Rahasia Harta Karun	Menurut Catatan Tambahan: Buku I III, di bawah Kolam Surgawi Gunung Nelumbo terdapat sebuah bangunan yang dulunya digunakan oleh Petani Ilahi sebagai tempat pengasingan. Di dalamnya ada peta terperinci yang perlu dijelajahi.	
28	Rahasia Harta Karun	Menurut The Windtamer's Travels: Volume II, pernah ada Celestial Demon yang disegel di dalam Hutan Millspine di kaki Pegunungan Hitam. Keajaiban dapat diperoleh dengan berkomunikasi dengan Celestial Demon melalui Hukum Rahasia.	
29	Mewujudkan Amanat	Rumor mengatakan ada bintang jatuh di tengah hari dan teratai Tao tumbuh dari tanah di [TXT], kemungkinan mengindikasikan perwujudan mandat dari makhluk abadi kuno yang akan segera terjadi. Ini telah menarik para pembudidaya dari segala arah.	Seorang kultivator misterius telah memperoleh mandat abadi kuno.
30	Mewujudkan Amanat	Rumor mengatakan ada bintang jatuh di tengah hari dan teratai Tao tumbuh dari tanah di [TXT], kemungkinan mengindikasikan perwujudan mandat dari makhluk abadi kuno yang akan segera terjadi. Ini telah menarik para pembudidaya dari segala arah.	Seorang kultivator misterius telah memperoleh mandat abadi kuno.
31	Mewujudkan Amanat	Rumor mengatakan ada bintang jatuh di tengah hari dan teratai Tao tumbuh dari tanah di [TXT], kemungkinan mengindikasikan perwujudan mandat dari makhluk abadi kuno yang akan segera terjadi. Ini telah menarik para pembudidaya dari segala arah.	Seorang kultivator misterius telah memperoleh mandat abadi kuno.
32	Mewujudkan Amanat	Rumor mengatakan ada bintang jatuh di tengah hari dan teratai Tao tumbuh dari tanah di [TXT], kemungkinan mengindikasikan perwujudan mandat dari makhluk abadi kuno yang akan segera terjadi. Ini telah menarik para pembudidaya dari segala arah.	Seorang kultivator misterius telah memperoleh mandat abadi kuno.
33	Mewujudkan Amanat	Rumor mengatakan ada bintang jatuh di tengah hari dan teratai Tao tumbuh dari tanah di [TXT], kemungkinan mengindikasikan perwujudan mandat dari makhluk abadi kuno yang akan segera terjadi. Ini telah menarik para pembudidaya dari segala arah.	Seorang kultivator misterius telah memperoleh mandat abadi kuno.
34	Mewujudkan Amanat	Rumor mengatakan ada bintang jatuh di tengah hari dan teratai Tao tumbuh dari tanah di [TXT], kemungkinan mengindikasikan perwujudan mandat dari makhluk abadi kuno yang akan segera terjadi. Ini telah menarik para pembudidaya dari segala arah.	Seorang kultivator misterius telah memperoleh mandat abadi kuno.
39	Peti Batu Taiyi	Rumor mengatakan seorang pemburu dari Desa Nanping menemukan mayat di kaki Gunung FullMoon. Di tubuhnya terdapat peti batu yang kebal terhadap air dan api, sangat paranormal.\n (Rahasia diaktifkan, silakan buka panel [color=#D06508]Dunia[/color], klik tombol Rahasia untuk memeriksanya. Klik Rahasia untuk menuju ke lokasinya. Jika lokasi tidak tersedia, Anda dapat melakukan lebih banyak Petualangan untuk membuka lokasi baru.)	
40	Kembali ke Taiyi	Sudah lebih dari setengah bulan sekarang, saya bertanya-tanya apakah penjahat yang menyerang sekte Taiyi telah pergi. Mungkin saya harus kembali ke sekte Taiyi untuk melihat apakah ada petunjuk.	
41	Ordo Paladin	Kabar tersebar di kalangan kultivator bahwa tujuh belas penjahat keji yang merupakan sisa dari Pemujaan Seribu Jiwa telah melarikan diri dari penjara pedang di Gunung Shu. Perintah Paladin telah dikeluarkan oleh Mt. Shu, menyerukan kepada para penggarap di seluruh dunia untuk melenyapkan pemuja setan ini, dan akan memberikan hadiah besar kepada mereka yang berhasil melakukannya.	Tujuh belas Ribu Kultus Jiwa telah terbunuh. Gunung Shu mengambil kembali Ordo Paladin mereka.
42	Jejak Kultus Setan	Rumor mengatakan beberapa pemuja Seribu Jiwa telah melarikan diri ke [TXT]. Untuk memulihkan kekuatan mereka, mereka akan menemukan manusia dengan jiwa yang kuat untuk melatih sihir iblis mereka. Mungkin kita bisa memanfaatkan ini untuk memasang jebakan untuk menangkap mereka.	Kultus Seribu Jiwa telah menghilang dan tidak dapat ditemukan.
43	Kompetisi Kunlun	Kompetisi Kunlun yang berlangsung selama tujuh hari ini diselenggarakan setahun sekali. Sekte-sekte di dunia, baik yang adil maupun yang jahat, masing-masing mengirimkan yang terbaik sebagai perwakilannya untuk berkumpul di Gunung. Kunlun untuk berdebat dan bersaing demi peruntungan mereka.	Kompetisi Kunlun telah berakhir.
44	Pameran Takdir Abadi	Pameran Besar Takdir Abadi yang diadakan setiap tahun di dunia budidaya kini telah dimulai. Semua sekte besar telah bergabung dalam acara di [TXT] untuk merekrut murid baru yang berpotensi. Untuk sementara waktu, semua orang berbakat di dunia yang bercita-cita mencari jalan keabadian telah berkumpul di sini.	Pameran Takdir Abadi telah berakhir.
45	Makam Kaisar Iblis Dibuka	Waktunya telah tiba untuk pembukaan Makam Kaisar Iblis di Selatan yang Liar, yang diadakan setiap tiga tahun sekali. Dikatakan bahwa makam tersebut akan dibuka selama 28 hari, di mana mereka yang ditakdirkan untuk itu dapat memperoleh warisan Kaisar Iblis. Untuk sementara waktu, orang-orang dari seluruh dunia budidaya berkumpul di Wild South.	Makam Kaisar Iblis telah ditutup.
46	Peti Emas Dibuka	Danau Jadestone di The Great Snowland telah menimbulkan gelombang dalam beberapa hari terakhir, menandakan bahwa harta karun Peti Emas di dalamnya akan dibuka tujuh hari kemudian. Peti Emas berisi segala jenis harta langka yang dikumpulkan atau diperas oleh Fu Pikong, Kaisar Iblis, selama dia menjadi penguasa. Pembukaannya telah mendatangkan gelombang besar para petani yang mencari peruntungan.	Peti Emas telah ditutup, harta karun yang tersedia selama pembukaan telah diukir dan dijarah.
47	Gangguan Dunia Lain	Rumor terbaru yang datang dari Bentang Laut menyebutkan bahwa terdapat wilayah laut yang diselimuti awan dan kabut muncul di Laut Dalam di sebelah utara. Ini sangat berbahaya, karena tidak ada seorang pun yang pernah masuk ke dalam dan terlihat keluar.	
48	Misteri Dunia Lain	Otherworld Rift telah muncul kembali di dunia, mungkin nasib baru menanti kita di sana.	
49	Kamu Xuan si Penjudi	Ada laporan bahwa Ye Xuan terlihat berkeliaran di [TXT]. Konon pria itu suka kemana-mana mengumpulkan harta langka. Dengan kepribadiannya yang eksentrik, perjudian adalah hidupnya. Dia akan mempertaruhkan hartanya dengan sebagian umur seseorang. Penjahat yang tak terhitung jumlahnya telah kehilangan seluruh hidup mereka karena berjudi melawannya dalam seratus tahun terakhir. Dia punya musuh dimana-mana. Namun, tidak ada yang pernah berhasil menangkapnya, karena ia unggul dalam cara menghindar.	Ye Xuan si Penjudi telah meninggalkan [TXT] dan tidak bisa ditemukan.
50	Jimat Celeste Kuno	Setiap sekolah atau sekte memiliki simbolnya sendiri sebagai pengenal untuk digunakan dalam perjalanan mereka, seperti Jimat Pedang Gunung Shu dan Jimat Celeste dari Istana Skydome. Setelah membaca Records of the Immortals: Volume III berkali-kali, Anda benar-benar menyadari bahwa ada perbedaan besar antara simbol identitas yang digunakan oleh Patriark Surgawi saat itu dan Jimat Celeste yang digunakan saat ini. Anda merenungkan alasan di balik ini. Walaupun informasi ini tidak banyak berguna, tetap saja Anda memutuskan untuk mencatat dan menuliskannya.	
51	Kepulangan	Kembalikan jenazah Patriark Surgawi ke Istana Skydome, sehingga guru leluhur dapat menikmati pengorbanan yang dipersembahkan oleh generasi mendatang.	
52	Gulir Miniatur	Gulungan primordial yang berisi miniatur semua makhluk telah muncul di Gunung Mesa di Dataran Tengah. Sebuah benda yang sangat ajaib, konon benda ini dapat memanggil makhluk hidup di dunia dan mewujudkannya menjadi ada.	
53	Jejak Naga Banjir	Aura Naga Banjir telah terpancar dari [TXT] akhir-akhir ini.	Aura Naga Banjir telah menghilang...
54	Jejak Phoenix	Aura Phoenix telah terpancar dari [TXT] akhir-akhir ini.	Aura Phoenix telah menghilang...
55	Yin-Yang Breath	Aura Yin dan Yang telah memancar dari [TXT] akhir-akhir ini.	Aura Yin dan Yang telah menghilang...
56	Rumor Penggarap Kuno	Baru-baru ini, ada berita tentang kultivator kuno yang hadir di [TXT].	Kultivator kuno yang dikabarkan muncul di [TXT] telah pergi...
57	Jejak Teman Lama	Baru-baru ini, penduduk desa terdekat mengatakan mereka melihat seorang pria aneh dengan lengan yang sangat panjang muncul di Gunung Coppertomb, yang berlari sangat cepat dan mendaki gunung dengan mudah. Deskripsinya terdengar seperti murid ketujuh sekte Taiyi yang terobsesi dengan formasi. Apakah dia selamat dari bencana itu juga? Mungkin Anda harus memeriksanya kapan-kapan.	
58	Peti Emas Dibuka	Danau Jadestone di The Great Snowland telah menimbulkan gelombang dalam beberapa hari terakhir, menandakan bahwa harta karun Peti Emas di dalamnya akan dibuka tujuh hari kemudian. Peti Emas berisi segala jenis harta langka yang dikumpulkan atau diperas oleh Fu Pikong, Kaisar Iblis, selama dia menjadi penguasa. Pembukaannya telah mendatangkan gelombang besar para petani yang mencari peruntungan.	Peti Emas telah ditutup, harta karun yang tersedia selama pembukaan telah diukir dan dijarah.
59	Perang Manusia	Baru-baru ini, terjadi perang antar manusia di dekat [TXT]. Banyak orang meninggal atau terluka, meninggalkan tumpukan mayat tergeletak di mana-mana.	Seorang kultivator yang lewat tidak tahan melihat pemandangan yang menghebohkan itu, sehingga mereka menggunakan kekuatannya untuk menghentikan perang.
60	Wabah mendatangkan malapetaka	Baru-baru ini, wabah merebak di [TXT]. Ketakutan menyebar ke seluruh wilayah, karena banyak korban meninggal atau jatuh sakit parah.	Seorang kultivator yang lewat tidak tahan melihat pemandangan yang menghebohkan itu, sehingga mereka menggunakan kekuatannya untuk membasmi wabah tersebut.
61	Kejahatan di Dunia	Baru-baru ini, sekelompok setan beroperasi di [TXT]. Banyak manusia yang diculik dan dibunuh, menimbulkan kekhawatiran dan menyebabkan rumor menyebar di antara orang-orang.	Seorang kultivator yang lewat masuk dan menjinakkan iblis.
62	Bencana Mendadak	Baru-baru ini, bencana alam terjadi di dekat [TXT]. Orang-orang berada dalam keadaan putus asa yang serius, karena banyak manusia yang tewas di dalamnya.	Seorang kultivator yang lewat turun tangan, menghentikan bencana, dan merawat para korban.
63	Peti Emas Dibuka	Danau Jadestone di The Great Snowland telah menimbulkan gelombang dalam beberapa hari terakhir, menandakan bahwa harta karun Peti Emas di dalamnya akan dibuka tujuh hari kemudian. Peti Emas berisi segala jenis harta langka yang dikumpulkan atau diperas oleh Fu Pikong, Kaisar Iblis, selama dia menjadi penguasa. Pembukaannya telah mendatangkan gelombang besar para petani yang mencari peruntungan.	Peti Emas telah ditutup, harta karun yang tersedia selama pembukaan telah diukir dan dijarah.
64	Mewujudkan Amanat	Rumor mengatakan ada bintang jatuh di tengah hari dan teratai Tao tumbuh dari tanah di [TXT], kemungkinan mengindikasikan perwujudan mandat dari makhluk abadi kuno yang akan segera terjadi. Ini telah menarik para pembudidaya dari segala arah.	Seorang kultivator misterius telah memperoleh mandat abadi kuno.
65	Hukum yang Hilang	Seiring dengan berkembangnya agensi ini, kami telah memperoleh banyak pengikut di Mt. South dan menjadi lebih terhubung dibandingkan sebelumnya. Baru-baru ini, agen tersebut melaporkan bahwa orang-orang menemukan reruntuhan misterius di bawah lembah sungai, yang tampaknya bersifat spiritual dan layak untuk diselidiki.	Konon lembah sungai telah runtuh dan reruntuhannya telah hancur total. Sayang sekali.
66	Peti Emas Dibuka	Danau Jadestone di The Great Snowland telah menimbulkan gelombang dalam beberapa hari terakhir, menandakan bahwa harta karun Peti Emas di dalamnya akan dibuka tujuh hari kemudian. Peti Emas berisi segala jenis harta langka yang dikumpulkan atau diperas oleh Fu Pikong, Kaisar Iblis, selama dia menjadi penguasa. Pembukaannya telah mendatangkan gelombang besar para petani yang mencari peruntungan.	Peti Emas telah ditutup, harta karun yang tersedia selama pembukaan telah diukir dan dijarah.
67	Kisah Dunia Lain	Rumor mengatakan bahwa seseorang menemukan jalan misterius jauh di dalam Celah Dunia Lain. Menurut orang yang menyebarkan desas-desus itu, di sisi lain jalan itu sangat berbahaya. Para penggarap dan makhluk di sana belum pernah terlihat sebelumnya, dengan kekuatan yang bahkan lebih besar dari para penggarap kuno. Namun rumor tersebut dianggap terlalu berlebihan dan kerap dijadikan bahan lelucon oleh masyarakat.	
68	Pendatang Dunia Lain	Saat ini dikatakan beberapa jejak aneh ditemukan di sekitar Otherworld Rift. Tampaknya beberapa penggarap datang dari ujung lain dari Celah Dunia Lain.	
1000	Perjalanan Penatua	Dikatakan bahwa orang bijak {0}, {1}, sering muncul di {2}.	orang bijak {0}—{1} telah menghilang di {2}.
1001	Penghormatan dari Sunshade Abode	Ini adalah waktu di mana Sunshade Abode mempersembahkan penghormatan mereka. Anda dapat mengirim murid untuk mengambilnya.	
1002	Penghormatan dari Istana Kunlun	Ini adalah waktu di mana Istana Kunlun mempersembahkan penghormatan mereka. Anda dapat mengirim murid untuk mengambilnya.	
1003	Penghormatan dari Istana Skydome	Ini adalah waktu di mana Istana Skydome mempersembahkan penghormatan mereka. Anda dapat mengirim murid untuk mengambilnya.	
1004	Penghormatan dari Kuil Awan Ungu	Ini adalah waktu di mana Kuil Awan Ungu mempersembahkan penghormatan mereka. Anda dapat mengirim murid untuk mengambilnya.	
1005	Penghormatan dari Sekte Persatuan Mistik	Ini adalah waktu di mana Sekte Persatuan Mistik memberikan penghormatan mereka. Anda dapat mengirim murid untuk mengambilnya.	
1006	Penghormatan dari Kuil Teratai Biru	Ini adalah waktu di mana Kuil Teratai Biru mempersembahkan penghormatan mereka. Anda dapat mengirim murid untuk mengambilnya.	
1007	Penghormatan dari Evenfall Abode	Ini adalah waktu di mana Evenfall Abode mempersembahkan penghormatan mereka. Anda dapat mengirim murid untuk mengambilnya.	
1008	Penghargaan dari Gunung Hundred Insects	Ini adalah waktu di mana Mt. Hundred Insects mempersembahkan upeti mereka. Anda dapat mengirim murid untuk mengambilnya.	
1009	Penghormatan dari Pit of Doom	Ini adalah waktu di mana Pit of Doom mempersembahkan penghormatan mereka. Anda dapat mengirim murid untuk mengambilnya.	
1010	Penghormatan dari Tujuh Sekte Pembantaian	Ini adalah waktu di mana Sekte Tujuh Pembantaian memberikan penghormatan mereka. Anda dapat mengirim murid untuk mengambilnya.	
1011	Penghormatan dari Sekte Exultant	Ini adalah waktu di mana Sekte Exultant memberikan penghormatan mereka. Anda dapat mengirim murid untuk mengambilnya.	
1012	Penghormatan dari Kuil Daemonia	Ini adalah waktu di mana Kuil Daemonia mempersembahkan penghormatan mereka. Anda dapat mengirim murid untuk mengambilnya.	
1013	Jejak	Menerima pesan tentang [EXTXT] pergi ke [TXT].	Orang bijak [EXTXT]— ​​telah menghilang di [TXT].
1014	Sembunyikan Jejak		
1015	Perjalanan Penatua	Dikatakan bahwa orang bijak {0}, {1}, sering muncul di {2}.	orang bijak {0}—{1} telah menghilang di {2}.
9000	Membangun Kembali Agensi	Pengikut Sekte Taiyi terdengar mengeluh karena tidak memiliki tempat beribadah. Haruskah kamu pergi menyelidikinya?	
9001	Bunuh Pengkhianat	Sekte {0} - Dikatakan bahwa pengkhianat Sekte {0} telah melarikan diri ke sini. Mereka mengandalkan Anda untuk membawanya masuk.	
9002	Lelang Relik Fana	Pelelangan dimulai lagi. Lelang ini akan menjual beberapa barang umum.	
9003	Pertempuran Melawan Kejahatan	{1} individu penggarap, yang telah membunuh murid {0}, terlihat di {2}. Setelah setuju untuk membalas dendam {0}, Anda berangkat untuk memburu {1}.	
9004	Bersihkan Mata-Mata	{1}, mata-mata yang menyusup ke {0}, telah melarikan diri ke {2}. Anda setuju untuk membasmi mereka selama {0}.	
9005	Bunuh Pengkhianat	{1}, yang telah mengkhianati {0}, telah melarikan diri ke {2}. Anda setuju untuk membasmi mereka selama {0}.	
9006	Kekeringan	Tiba-tiba, ada [EXTXT] di [TXT]. Tak terhitung banyaknya manusia yang tewas atau terluka, karena ketakutan dan kecemasan menyebar ke seluruh negeri.	Seseorang telah menggunakan kekuatan abadi mereka untuk mempengaruhi bencana. Itu akan merusak Pengakuan Iman Surga jika Anda pergi ke sana juga.
9007	Banjir	Tiba-tiba, ada [EXTXT] di [TXT]. Tak terhitung banyaknya manusia yang tewas atau terluka, karena ketakutan dan kecemasan menyebar ke seluruh negeri.	Seseorang telah menggunakan kekuatan abadi mereka untuk mempengaruhi bencana. Itu akan merusak Pengakuan Iman Surga jika Anda pergi ke sana juga.
9008	Gelombang Dingin	Tiba-tiba, ada [EXTXT] di [TXT]. Tak terhitung banyaknya manusia yang tewas atau terluka, karena ketakutan dan kecemasan menyebar ke seluruh negeri.	Seseorang telah menggunakan kekuatan abadi mereka untuk mempengaruhi bencana. Itu akan merusak Pengakuan Iman Surga jika Anda pergi ke sana juga.
9009	Gempa bumi	Tiba-tiba, ada [EXTXT] di [TXT]. Tak terhitung banyaknya manusia yang tewas atau terluka, karena ketakutan dan kecemasan menyebar ke seluruh negeri.	Seseorang telah menggunakan kekuatan abadi mereka untuk mempengaruhi bencana. Itu akan merusak Pengakuan Iman Surga jika Anda pergi ke sana juga.
9010	Bangkitkan Binatang		Binatang yang Bangkit telah diambil oleh orang lain.
9011	Lelang Mistik	Pelelangan dimulai lagi. Barang-barang yang akan dijual dalam lelang ini diselimuti misteri dan tidak dapat diidentifikasi.	
9012	Lelang Lain-Lain	Pelelangan dimulai lagi. Lelang ini menjual berbagai macam barang, dengan banyak orang yang ikut serta.	
9013	Lelang Harta Karun	Pelelangan dimulai lagi. Barang-barang yang dijual dalam lelang ini semuanya merupakan harta karun yang sangat langka, dan para tamu yang hadir semuanya adalah orang-orang luar biasa.	
9100	Prasasti Tebing Naga	Dikatakan bahwa langit runtuh dan bumi retak jauh di dalam gurun, setelah itu prasasti Tebing Naga, situs suci Yaoguai kuno, muncul kembali di dunia!	
9101	Prasasti Tebing Naga	Dikatakan bahwa langit runtuh dan bumi retak jauh di dalam gurun, setelah itu prasasti Tebing Naga, situs suci Yaoguai kuno, muncul kembali di dunia!	
2001	Jejak Alkemis	Dikatakan bahwa Gunung FullMoon baru-baru ini memperlihatkan kejadian-kejadian aneh, dengan penampakan para alkemis kuno. Anda dapat mengirim seorang murid untuk menyelidikinya!	
