ID	Content
10	Saat berkeliling dunia abadi, [NAME] secara tidak sengaja menjatuhkan murid dalam [NAME1] ke alam fana. Untuk memutus rantai sebab dan akibat, [NAME1] secara pribadi melenyapkan penanaman [NAME], mengirimkannya kembali ke siklus reinkarnasi.
11	Saat berkeliling dunia abadi, [NAME] mengalami pecahnya keretakan setan di [PLACE1]. Untuk mencegah terjadinya serangan iblis skala besar, banyak makhluk abadi bekerja sama untuk mengunci tempat ini dan telah melawan iblis selama beberapa dekade. Sayangnya, [NAME] telah kalah dalam perang ini dan kembali memasuki siklus reinkarnasi.
12	Saat bepergian di [PLACE1], [NAME] dikepung dan diserang oleh [MONSTER1] dan tubuh abadinya dilenyapkan. [NAME] tidak punya pilihan selain membubarkan kekuatannya sendiri dan memasuki kembali siklus reinkarnasi.
13	Saat berkeliling di dunia keabadian, [NAME] tiba-tiba mendapat inspirasi dari [IDEA1] dan memahami jalan keabadian surgawi. [NAME] kemudian berkultivasi secara tertutup selama lebih dari sepuluh tahun di [PLACE1], akhirnya mencapai Keadaan Keabadian Surgawi setelah membentuk kembali Tubuh Anasrava dan melihat melalui seratus reinkarnasi.\n...Dalam Keadaan Reinkarnasi, seribu tahun hanyalah sekejap mata. Melihat ke belakang, semua yang terjadi di masa lalu menjadi tidak relevan seperti kabut yang jauh. Pada saat inilah [NAME] akhirnya memahami apa artinya berada dalam Keadaan Surgawi yang Abadi, dan mengapa para penguasa masa lalu itu tidak pernah kembali ke Alam Fana.
14	Saat bepergian di [PLACE1], [NAME] dikepung dan diserang oleh [MONSTER1]. Meski berhasil melarikan diri, tubuh abadi [NAME] dilenyapkan dan hampir harus memasuki kembali siklus reinkarnasi. Dalam keputusasaan, [NAME] secara paksa menerobos Keadaan Keabadian Surgawi, memungkinkan Roh Primordial memasuki Keadaan Reinkarnasi, melarutkan tubuh fisik dan kekuatan magisnya sendiri dalam prosesnya. Seratus reinkarnasi berlalu dalam sekejap mata. Diuntungkan oleh keberuntungan, sisa semangat [NAME] berhasil bertahan, dan berhasil keluar dari Negara!\nPada saat kebangkitan, kekuatan [NAME] telah diubah menjadi kekuatan Surgawi, dan tubuh dibentuk kembali menjadi kekuatan Anasrava. Melihat ke belakang, semua yang terjadi di masa lalu menjadi tidak relevan seperti kabut yang jauh. Pada saat inilah [NAME] akhirnya memahami apa artinya berada dalam Keadaan Surgawi Abadi, dan mengapa para penguasa masa lalu itu tidak pernah kembali ke Alam Fana.
15	[NAME] menemui [NAME1] sedang memberikan ceramah tentang [IDEA1] di [PLACE1]. Terlibat dalam kata-kata mendalam ini, [NAME] tiba-tiba merasakan getaran dalam Roh Primordial, dan langsung jatuh ke dalam Keadaan Reinkarnasi. Untungnya, [NAME] telah memanfaatkan kunci untuk mencapai Terobosan ke Tingkat Keabadian Surgawi saat itu juga.\nSeseorang tidak merasakan berlalunya waktu dalam Keadaan Reinkarnasi. Pada saat [NAME] muncul, beberapa siklus enam puluh tahun telah berlalu. Kekuatan [NAME] telah diubah menjadi kekuatan Surgawi, dan tubuh dibentuk kembali menjadi kekuatan Anasrava. Melihat ke belakang, semua yang terjadi di masa lalu menjadi tidak relevan seperti kabut yang jauh. Pada saat inilah [NAME] akhirnya memahami apa artinya berada dalam Keadaan Surgawi yang Abadi, dan mengapa para penguasa masa lalu itu tidak pernah kembali ke Alam Fana.
16	[NAME] menemukan [DAN1] secara kebetulan di [PLACE1]. Setelah mengkonsumsinya, [NAME] membuat kemajuan besar dalam budidaya, memanfaatkan kunci untuk mencapai Terobosan ke Tingkat Surgawi Abadi. Karena pergerakan Qi, Roh Primordial [NAME] telah jatuh tak berdaya ke dalam Keadaan Reinkarnasi.\nDalam Keadaan Reinkarnasi, seribu tahun hanyalah sekejap mata. Melewati ratusan reinkarnasi kesulitan, [NAME] menjaga secercah semangat agar tidak mati dan berhasil keluar dari Negara, menempa Tubuh Anasrava yang abadi. Melihat ke belakang lagi, [NAME] merasa kejadian di masa lalu menjadi tidak relevan seperti kabut yang jauh, sama seperti pengalaman di banyak reinkarnasi. Pada saat inilah [NAME] akhirnya memahami apa artinya berada dalam Keadaan Surgawi yang Abadi, dan mengapa para penguasa masa lalu itu tidak pernah kembali ke Alam Fana.
17	[NAME] tiba-tiba mendapat wahyu di [PLACE1]. Menganggapnya sebagai lokasi yang sangat terhubung melalui takdir, [NAME] membangun Rumah Gua di ruang kosong di dekatnya sebagai dojo. Dalam seratus tahun berikutnya, [NAME] mengumpulkan berbagai makhluk roh dan anak-anak abadi di dalam Rumah Gua, tempat segelintir teman abadi juga berkumpul bersama sesekali untuk mendiskusikan hal-hal magis. Lambat laun, tempat ini menjadi cukup menarik.
18	Saat bepergian di [PLACE1], [NAME] tiba-tiba menemukan anomali yang disebut [EVENT1]. Untuk lebih memahami misterinya, [NAME] memutuskan untuk membangun Rumah Gua di ruang kosong terdekat untuk menetap.\nBagi makhluk abadi, seratus tahun hanyalah sekejap mata berapa pun usia mereka. Seiring berjalannya waktu, makhluk abadi lainnya mulai berkumpul di sini untuk mencari inspirasi di [EVENT1]. Karena lokasinya, Cave Mansion [NAME] secara bertahap menjadi tempat menarik di mana orang-orang bertukar pikiran dan mendiskusikan fenomena tersebut. Hal ini menjadi daya tarik tersendiri.
19	Saat bepergian di [PLACE1], [NAME] memasuki sarang [MONSTER1] secara tidak sengaja. Di saat yang menyedihkan, beberapa makhluk abadi yang lewat datang untuk menyelamatkan, memungkinkan [NAME] melarikan diri dengan Manifestasi. Setelah pertempuran ini, [NAME] dan para makhluk abadi yang membantu menjadi teman dekat satu sama lain. Bersama-sama mereka memutuskan untuk membangun Rumah Gua di tempat itu, yang dapat digunakan sebagai tempat meditasi serta sebagai tanda pemberitahuan, memperingatkan makhluk abadi lainnya untuk tidak mengganggu [MONSTER1] yang sedang tidur dan membahayakan diri mereka sendiri.\nLebih dari seratus tahun telah berlalu. Bersyukur atas lingkungan abadi, [MONSTER1] bahkan membentuk aliansi dengan [NAME]. Dengan bantuan kekuatan [MONSTER1], Rumah Gua [NAME] dikembangkan lebih jauh lagi, menjadi Tempat Suci Surga.
20	Saat bepergian di [PLACE1], [NAME] bertemu dengan seorang teman abadi dari lawan jenis. Rukun, keduanya bergandengan tangan dan mulai bepergian bersama. Ternyata, keduanya ditakdirkan menjadi kekasih melalui seratus reinkarnasi. Sekarang mereka berdua telah menembus Keadaan Reinkarnasi dan bertemu lagi di dunia abadi, itu benar-benar sebuah pertanda dari atas.\nSetelah menghabiskan beberapa tahun bersama, kenangan masa lalu mereka perlahan-lahan muncul kembali. Mereka kembali menjadi partner, membangun Cave Mansion di lokasi pertama kali mereka bertemu dan mengembangkan tempat tersebut selama seratus tahun. Kisah mereka menjadi sebuah dongeng.
21	Saat berkeliling di dunia abadi, [NAME] kebetulan berhubungan baik dengan [NAME1], dan memutuskan untuk mengabdi di bawah sekolah kepercayaan [NAME1] untuk ketenaran dan perlindungan. [NAME1] adalah salah satu Dewa Emas Prinsip Agung tertua di Sembilan Alam Surgawi Atas, dojonya terletak di dalam Kekacauan di Surga Melampaui Surga. Tempat itu adalah dunia tersendiri, mendominasi Sembilan Alam Surgawi Atas.
22	Saat berkeliling di dunia abadi, [NAME] tersentuh oleh semua penderitaan yang disebabkan oleh serangan setan, dan memutuskan untuk mencari posisi di Pengadilan Surgawi. Pengadilan Surgawi adalah kekuatan yang mewakili Sembilan Alam Surgawi Atas. Ia mengurapi semua makhluk abadi untuk melaksanakan tugas mereka dan bertanggung jawab untuk memelihara jalan surga. Itu juga merupakan kekuatan utama dalam perang melawan serangan setan.
23	Saat berkeliling di dunia keabadian, [NAME] merasakan secara mendalam bahwa jalan keabadian adalah abadi dan tidak terbatas, dan ingin berkultivasi lebih jauh lagi untuk mencapai pencapaian yang lebih tinggi. [NAME] kemudian melakukan perjalanan melampaui Surga Trayastrimsa untuk belajar dari Guru Leluhur Tao.
24	Saat berkeliling di dunia abadi, [NAME] secara kebetulan bertemu dengan kultivator naik lainnya dari alam yang sama. Setelah beberapa pertukaran informasi, [NAME] mengetahui bahwa para kultivator dari alam aslinya bahkan membentuk aliansi di Sembilan Alam Surgawi Atas untuk saling mendukung. Setelah mengalami kesulitan besar dalam cara keabadian, [NAME] setuju untuk bergabung dengan aliansi.
25	"Tiba-tiba sebuah pemikiran muncul di benak [NAME], ""Saya bekerja seumur hidup untuk mencapai keabadian. Jika saya tidak naik lebih jauh dan mencapai Tatanan Prinsip Agung, bukankah saya akan menjadi orang bodoh yang menyerahkan kehidupan yang bebas dan bahagia dengan sia-sia?"" Maka lahirlah ambisi [NAME] untuk Prinsip Besar."
26	Tiba-tiba menyadari bahwa dunia abadi bukanlah dunia kebebasan dan kebahagiaan abadi - karena konflik, manipulasi, dan serangan setan serupa juga terjadi di sini - [NAME] menjadi bosan dengan semua ini. [NAME] diam-diam memutuskan untuk melepaskan diri dari rantai sebab dan akibat, demi mencapai kebebasan sejati pada akhirnya.
27	[NAME] tiba-tiba merasakan begitu banyak rahasia dan keajaiban antara langit dan bumi. Daripada terjerat dalam perselisihan tanpa akhir yang disebabkan oleh sebab dan akibat yang berbeda-beda, hidup yang jauh lebih menyenangkan adalah menjelajahi semua misteri. Maka lahirlah keinginan [NAME] untuk melakukan eksplorasi.
28	[NAME] tiba-tiba teringat betapa senangnya rasanya bagi Prinsip Agung yang abadi untuk menguasai dunia di bawah mereka dengan prestise dan otoritas yang besar. Betapa menyenangkannya, mengumpulkan teman-teman yang kuat di dunia abadi dan menguasai dunia lokal. Wajar saja jika seseorang dengan kultivasi yang hebat akan mencapai dominasi seperti itu. Maka lahirlah ambisi [NAME] untuk mendominasi.
29	[NAME] bertemu dengan makhluk abadi yang pikirannya dipenuhi iblis di [PLACE1]. Setelah pertarungan sengit, [NAME] muncul sebagai pemenang dan mengeksekusi iblis tersebut.
30	[NAME] tiba-tiba memiliki pemahaman yang luar biasa tentang [IDEA1] di [PLACE1], sejauh menciptakan Keajaiban baru darinya, dan membuat kemajuan signifikan dalam budidaya.
31	Saat berkeliling di dunia abadi, [NAME] bertemu [NAME1] saat [NAME1] sedang melakukan keajaiban untuk membangun Rumah Gua di dalam Chaos untuk membantu generasi baru. [NAME] sangat terpesona, melihat bumi, air, api dan angin bergejolak dan mendidih untuk mengatur dirinya sendiri ketika [NAME1] memerintahkan elemen alam dengan tangan dan kaki.
32	Terinspirasi oleh pengamatan [EVENT1] di [PLACE1], [NAME] secara tidak sengaja tenggelam dalam Keadaan Meditasi. Ketika akhirnya terbangun, beberapa tahun telah berlalu dan [NAME] telah membuat kemajuan besar dalam pencapaiannya.
33	[NAME] menemukan bayi [MONSTER1] secara kebetulan. Itu adalah peluang besar. Patut dicatat bahwa [MONSTER1] adalah binatang ajaib langit dan bumi, dengan kekuatan magis yang cukup kuat untuk menyaingi Dewa Emas Prinsip Agung begitu mereka tumbuh dewasa. Jika seseorang ingin dibesarkan sejak usia muda, itu pasti akan sangat membantu.
34	Saat berkeliling di dunia abadi, [NAME] bertemu dengan sesama kultivator dari alam yang sama yang naik ratusan tahun yang lalu. Keduanya banyak berbicara dan minum satu sama lain, mengabaikan berlalunya waktu yang telah berlalu lebih dari sepuluh tahun.
35	Saat berkeliling di dunia abadi, [NAME] bertemu [NAME1] bertukar pandangan dengan orang lain mengenai masalah filosofis, yang pada akhirnya berlangsung lebih dari sepuluh tahun. Mendengarkan keseluruhan diskusi, [NAME] mendapatkan banyak inspirasi darinya.
36	Saat berkeliling dunia abadi, [NAME] secara tidak sengaja menemukan [DAN1] di [PLACE1]. Menyempurnakannya dengan tubuh dan jiwa, [NAME] sepenuhnya memahami kedalamannya dan membuat kemajuan besar dalam pencapaiannya.
37	Saat berkeliling di dunia abadi, [NAME] menemukan Tempat Tinggal Surgawi kecil. Setelah beberapa penjelajahan, [NAME] menemukan bahwa ini adalah tempat peristirahatan terakhir makhluk abadi surgawi yang hidup ribuan tahun yang lalu, dan telah lama ditinggalkan. Tentang siapa dan di mana makhluk abadi ini berada, tidak ada yang tahu. Menghela nafas dengan perasaan campur aduk, [NAME] mengumpulkan banyak harta abadi darinya sebelum pergi.
38	Saat berkeliling di dunia keabadian, [NAME] tiba-tiba merasakan hubungan spiritual yang kuat, maka ia membagi Manifestasi ke Alam Fana untuk mengarahkan seorang murid muda, yang merupakan murid yang terhubung, untuk memasuki kembali jalan keabadian.
39	Saat berkeliling di dunia abadi, [NAME] tiba-tiba merasakan doa para murid dari dunia bawah, maka ia mengeluarkan Manifestasi ke Alam Fana untuk menyampaikan ceramah.
40	Saat berkeliling di dunia abadi, [NAME] tiba-tiba merasakan doa para murid dari dunia bawah, lalu mengeluarkan beberapa gadget tak berguna yang terkumpul selama bertahun-tahun dan menendangnya ke Alam Fana.
41	Saat berkeliling di dunia abadi, [NAME] bertemu dengan sesama abadi di [PLACE1]. Entah kenapa, mereka merasa sangat mudah bergaul satu sama lain. Keduanya berbincang lama bahkan sampai mengadakan permainan catur. Yang abadi tidak memandang perjalanan waktu seperti orang biasa. Saat permainan berakhir, seribu tahun telah berlalu.
42	Saat berkeliling di dunia abadi, [NAME] secara tidak sengaja menemukan [PLACE1] yang memiliki pemandangan misterius dan menakjubkan, menjadikannya tempat menginap yang menakjubkan. Setelah memikirkannya, [NAME] memutuskan untuk tinggal di sini selama beberapa tahun.
43	Saat berkeliling dunia keabadian, [NAME] menemukan [NAME1] mengadakan pesta di [PLACE1], mengundang banyak makhluk abadi untuk datang dan minum. Pesta besar itu berlangsung selama bertahun-tahun. Setelah mengisi diri mereka dengan cairan ramuan dan buah-buahan ambrosial, para abadi merasa puas.
44	Saat berkeliling dunia abadi, [NAME] tiba-tiba merasa mengantuk. [NAME] oleh karena itu menemukan tempat yang bagus di [PLACE1] dan langsung tertidur. Saat akhirnya terbangun dari tidurnya, sudah seratus tahun berlalu.
45	Saat berkeliling dunia abadi, [NAME] menjadi mabuk karena meminum Anggur Dreammaker bersama dengan seseorang. Saat mereka sadar, sudah lebih dari sepuluh tahun berlalu.
46	Saat bepergian di [PLACE1], [NAME] mengalami wabah kesengsaraan spiritual di dunia abadi. Dengan pencapaian yang mendalam, [NAME] menggunakan kekuatan abadi yang besar dan berhasil bertahan dari kesengsaraan, semakin meningkatkan pencapaian yang sudah mendalam dengan sedikit selisih.
47	[NAME] bertemu dengan sesama abadi di [PLACE1]. Mereka rukun dan menemukan pandangan mereka mengenai cara berkultivasi sangat baik. Untuk memastikan keharmonisan bersama, [NAME] dan teman abadinya mengadakan duel sihir selama seratus tahun. Keduanya masing-masing menampilkan Keajaiban besar, saling melengkapi dan belajar. Mereka berdua membuat pemahaman yang luar biasa. Tidak hanya mereka berdua, penonton sekitar yang telah menyaksikan duel selama ratusan tahun pun mendapatkan wawasan darinya. Ceritanya telah menjadi sebuah dongeng.
48	Entah kenapa, [NAME] tiba-tiba terasa seperti membuat artefak abadi. Namun, karena kurangnya Tao Buildup di menit-menit terakhir, artefak tersebut gagal diproduksi. Kecewa, [NAME] dengan santai membagikan harta yang gagal kepada murid-murid muda di Alam Fana.
49	Saat berkeliling dunia abadi, [NAME] mengalami pecahnya keretakan setan di [PLACE1]. Untuk mencegah terjadinya serangan iblis skala besar, banyak makhluk abadi bekerja sama untuk mengunci tempat ini dan telah melawan iblis selama beberapa dekade. Setelah mengalami pertempuran berdarah ini, [NAME] diberkati oleh Pengakuan Iman Surga, sehingga pencapaiannya meningkat pesat.
50	[NAME] merasa kehilangan setelah dikeluarkan dari sekolah. Untungnya, setiap keterampilan dan pengetahuan yang telah dipelajari masih bertahan. Mari kita atur suasana hati kita dan kembali ke dunia manusia.
51	[NAME] disergap oleh musuh utama di [PLACE2]. Tidak siap menghadapi pengkhianatan seperti itu, [NAME] akhirnya kalah dalam pertempuran meski telah melawan dengan gagah berani dengan segala cara. Dengan demikian, kultivasi seumur hidup akan hilang selamanya.
52	Setelah bertahun-tahun berkultivasi dengan susah payah, [NAME] akhirnya melaksanakan langkah terakhir dan selamat dari Kesengsaraan Surgawi di [PLACE2], naik dari dunia ini dan menjadi abadi.
53	[NAME] memicu Kesengsaraan Pencapaian di [PLACE2] dengan harapan untuk maju lebih jauh. Namun, karena budidaya yang tidak memadai, [NAME] akhirnya terbakar menjadi abu karena Masa Kesengsaraan. Dengan demikian, kultivasi seumur hidup akan hilang selamanya.
54	Setelah lama mengembara sendirian di dunia kultivator, [NAME] merasa tidak yakin akan masa depan karena kurangnya bakat, dan menjadi bosan dengan semua penipuan dan plot di antara para kultivator. Akhirnya, [NAME] memutuskan untuk menyembunyikan budidayanya sendiri dan hidup sebagai manusia biasa, hidup dalam pengasingan di [PLACE2].
55	[NAME] secara tidak sengaja memasuki Rumah Gua Seorang Penggarap Kuno di [PLACE2]. Namun, karena kemalangan yang parah, [NAME] jatuh ke dalam Bangsal Larangan dan tidak dapat melarikan diri. [NAME] tidak bisa berbuat apa-apa selain menyaksikan tanpa daya ketika semua kultivasi menjadi habis, hingga akhirnya mencapai kematian.
56	[NAME] sudah lama mengembara di dunia kultivator, namun karena kurangnya bakat, selalu tidak mampu mencapai kenaikan. Akhirnya suatu hari, [NAME] meninggal karena usia tua di [PLACE2].
57	Saat menjelajahi Otherworld Rift, [NAME] secara tidak sengaja tersedot ke dalam fragmen temporal dan hilang selamanya.
58	Saat berkeliling dunia abadi, [NAME] secara tidak sengaja jatuh ke tangan Sekte Exultant, digunakan oleh mereka sebagai kuali seksual untuk memanen budidaya, dan meninggal secara mengenaskan.
59	Saat berkeliling di dunia abadi, [NAME] secara tak terduga bertemu dengan [MONSTER2] di [PLACE2], seekor binatang purba dan ganas, di [PLACE]. [NAME] dikalahkan dalam pertarungan dan akhirnya jiwa dan raganya dilenyapkan.
60	Saat berkeliling di dunia abadi, [NAME] terlibat perselisihan dengan Tujuh Sekte Pembantaian. Pertarungan sihir pun terjadi. Dikelilingi dan kalah jumlah dengan musuh, [NAME] terbunuh dalam pertarungan. Tubuh [NAME] diubah menjadi Wadah, dan jiwa digunakan sebagai instrumen dalam pemurnian hantu. Sungguh mengerikan.
61	Diatasi dengan keserakahan, [NAME] menyelinap ke dalam perbendaharaan [SCHOOL2] untuk mencuri, namun akhirnya tertangkap. [SCHOOL2] melumpuhkan budidaya [NAME] serta tubuh, memotong kedua tangan dan kaki sebelum melemparkan pencuri ke hutan belantara. Akhirnya [NAME] mati secara tragis di mulut anjing liar. Sungguh akhir yang menyedihkan.
62	[NAME] menyelamatkan cicit seorang tetua dari [SCHOOL2] secara tidak sengaja. Melalui koneksi yang tepat ini, [NAME] berhasil bergabung dengan [SCHOOL2].
63	Setelah berkultivasi secara tertutup selama beberapa bulan di [PLACE2], [NAME] merasa bijaksana dan cukup kuat untuk menyaingi para pahlawan dunia, sehingga memutuskan untuk mendirikan sekte baru.
64	[NAME] menghabiskan waktu bertahun-tahun di dunia petani dan menyadari persaingan di Dataran Tengah terlalu ketat untuk mencari nafkah. Oleh karena itu, [NAME] berubah wujud menjadi barbar selatan dan memulai karier baru di Wild South, merekrut sekelompok penduduk asli dan mengumpulkan berbagai material dan harta langka. Mereka menjadi faksi yang cukup kuat di wilayah setempat.
65	Setelah terluka parah dalam pertarungan, [NAME] dirayu oleh Iblis Surgawi di ambang kematian, dan mulai berlatih Inkarnasi Iblis Surgawi, sehingga menjadi pengikut iblis.
66	[NAME] mengalami reinkarnasi mantan kekasih di [CITY2]. Meski masih manusia fana, orang yang dimaksud kebetulan adalah orang yang memiliki potensi kultivasi yang besar. [NAME] oleh karena itu memperkenalkan individu tersebut ke dunia kultivator dan mereka menikah lagi. Ceritanya telah menjadi sebuah dongeng.
67	[NAME] mengalami reinkarnasi mantan kekasih di [CITY2]. Sayangnya, orang tersebut tidak memiliki potensi budidaya apapun dalam kehidupan ini. [NAME] menyembunyikan identitas aslinya dan menemani individu tersebut seumur hidup hingga pergi.
68	[NAME] mengalami reinkarnasi mantan kekasih di [CITY2]. Orang itu juga mengikuti jalan keabadian dalam kehidupan ini, tetapi hanya ingin mengejar pengetahuan dan tidak ingin berhubungan lagi dengan [NAME]. [NAME] menghindari mengganggu orang tersebut lebih jauh. Keduanya pun berpisah, mendesah pada pengaturan rejeki.
69	[NAME] mengalami reinkarnasi mantan kekasih di [CITY2]. Individu itu juga bergabung dengan jalan keabadian dalam kehidupan ini. Keduanya sangat senang bertemu satu sama lain. Mereka menjadi pasangan kultivator lagi, dan ceritanya menjadi sebuah dongeng.
70	Secara kebetulan, [NAME] memperoleh warisan ajaran yang lebih sesuai. Dengan harapan mencapai kesuksesan yang lebih besar lagi, setelah beberapa keragu-raguan, [NAME] akhirnya memutuskan untuk meminum Pil Kebangkitan untuk memulai kembali Hukum kultivasi. Namun tanpa perlindungan sekte tersebut, UU ini tentu akan menjadi lebih sulit.
71	Gagal melakukan terobosan, Qi [NAME] berlari tanpa tujuan dan nyawa dalam bahaya. Dengan harapan untuk tetap hidup, [NAME] meminum Pil Kebangkitan untuk memulai kembali Hukum kultivasi. Namun tanpa perlindungan sekte tersebut, UU ini tentu akan menjadi lebih sulit.
72	Saat menjelajahi Rumah Gua yang hilang, [NAME] secara tidak sengaja mengonsumsi Pikiran Ilahi dari makhluk abadi kuno. Hal itu menyebabkan kekuatan magis seluruh tubuh [NAME] musnah. Ternyata, tempat ini adalah bagian dari mekanisme yang dirancang khusus untuk warisan ajaran abadi kuno. Sambil merasa kesal, seseorang tidak punya pilihan selain membangun kembali kekuatan magis dari awal. [NAME] terus berkultivasi selama beberapa tahun sebelum bebas lagi.
73	Setelah menderita luka kardiovaskular yang parah selama penanaman Hukum Rahasia sebelumnya, [NAME] merasa seperti disiksa siang dan malam, hidup dalam penderitaan yang tak tertahankan. Tidak dapat mengatasi rasa sakit yang berkepanjangan, [NAME] akhirnya memutuskan untuk meminum Pil Kebangkitan untuk terbebas dari penderitaan, memulai dari awal lagi dalam Hukum kultivasi. Namun tanpa perlindungan sekte tersebut, UU ini tentu akan menjadi lebih sulit.
74	Saat berkeliling dunia abadi, [NAME] tiba-tiba merasakan sedikit kerinduan. Oleh karena itu [NAME] berubah bentuk menjadi manusia fana dan kembali ke rumah ketika masih kecil, hanya untuk mengetahui bahwa tempat itu telah hancur total akibat bencana alam. Seluruh gunung rata, dan aliran sungai berubah. [NAME] menghela nafas dengan perasaan campur aduk dan meninggalkan tempat ini.
75	Saat berkeliling dunia abadi, [NAME] tiba-tiba merasakan sedikit kerinduan. Oleh karena itu [NAME] berubah bentuk menjadi manusia dan kembali ke rumah ketika masih kecil, hanya untuk menemukan bahwa sebagian besar tempat itu tetap sama terlepas dari tidak adanya wajah-wajah yang dikenalnya. Hanya sedikit yang berubah. Tiba-tiba merasakan kelegaan yang luar biasa, [NAME] meninggalkan tempat sambil tertawa, seolah-olah hal-hal di masa lalu telah hilang seperti asap di kejauhan.
76	Saat berkeliling dunia abadi, [NAME] tiba-tiba merasakan sedikit kerinduan. Oleh karena itu [NAME] berubah bentuk menjadi manusia fana dan kembali ke rumah ketika masih kecil, hanya untuk mengetahui bahwa tempat itu telah menjadi halaman dalam sebuah keluarga kaya. Semua wajah yang familiar telah hilang. [NAME] menonton dengan iseng beberapa saat, menggelengkan kepala dan pergi.
77	Saat berkeliling dunia abadi, [NAME] tiba-tiba merasakan sedikit kerinduan. Oleh karena itu [NAME] berubah bentuk menjadi manusia dan kembali ke rumah ketika masih kecil, hanya untuk menemukan bahwa seluruh tempat telah terbakar habis dalam perang. Menatap reruntuhan, [NAME] sangat merasakan ketidakpedulian terhadap jalan surga dan betapa konsistennya ketidakpedulian itu, menuruti emosi yang kuat dan campur aduk.
78	Saat berkeliling di [PLACE2], [NAME] bertemu dengan seorang anak fana yang memiliki hubungan spiritual yang mendalam. Oleh karena itu [NAME] menerima anak tersebut sebagai murid pribadi untuk meneruskan ilmu.
79	Setelah mengejar ribuan mil, [NAME] akhirnya berhasil membunuh musuh pribadi di [PLACE2]. Hidup mempermainkan manusia. Putra musuh kebetulan terhubung secara spiritual dengan [NAME] dan berpotensi menjadi penerus terbaik untuk meneruskan pengetahuan. [NAME] ragu-ragu lagi dan lagi, dan akhirnya memutuskan untuk mengambil anak ini, tidak tahu apakah itu akan menjadi berkah atau kutukan.
80	Saat berkeliling di [CITY2] saat berubah wujud sebagai manusia, [NAME] secara tak terduga dikenali oleh seorang pemuda berbakat yang mampu memahami penyamarannya. Merasa antusias, [NAME] memutuskan untuk menjadikan anak tersebut sebagai murid untuk mewariskan warisan.
81	Saat berkeliling di [PLACE2], [NAME] bertemu dengan sekelompok orang yang berebut [DAN2]. [NAME] mengikuti mereka secara diam-diam, dan berhasil merebut hadiah tanpa perlawanan.
