ID	Name	Desc
10	Lahir di rumah bordil	[NAME] lahir di rumah bordil, tanpa mengetahui identitas orang tuanya sendiri. Tumbuh di jalanan menyebabkan [ENHIM] benar-benar memahami arti dari apa yang dibutuhkan untuk bertahan hidup.
11	Seorang Pengrajin Terlahir	[NAME] tumbuh dalam keluarga seniman dan tumbuh besar dalam membuat segala macam hal dengan tangan.
12	Anak Seorang Tukang Daging	[NAME] tumbuh dalam keluarga tukang daging dan selalu membantu dari waktu ke waktu. Pengalaman ini membuat [ENHIM] menjadi buas dan kuat.
13	Keluarga Petani	[NAME] adalah anak sulung dari keluarga petani. Perjuangan hidup di pertanian membuat [ENHIM] memahami dunia sejak muda.
14	Dokter dalam pelatihan	[NAME] tumbuh dengan seorang tabib keliling, [IT] berkeliling ke seluruh negeri bersama-sama. Pengalaman-pengalaman ini memberi [ENHIM] pengetahuan yang luas.
15	Keluarga Pejabat	[NAME] tumbuh dalam keluarga pejabat pemerintah sehingga kepalsuan yang menutupi perebutan kekuasaan sudah sangat familiar. [NAME] sudah mengeksploitasi ketulusan dan kebaikan orang lain sejak usia muda, namun masa kanak-kanak seperti ini membuat seseorang sulit melepaskan kewaspadaannya.
16	Pelamun	[NAME] tumbuh dalam keluarga astronom dan memiliki minat yang besar terhadap kosmos sejak usia muda. Hasilnya, [NAME] tumbuh besar dengan minat pada buku dan peta bintang.
17	Bepergian dengan baik	Ayah [NAME] adalah seorang utusan ke barat dan sering menemaninya dalam perjalanan ke luar negeri. Oleh karena itu, [NAME] mempunyai minat dan kerinduan yang besar terhadap seluruh penjuru dunia.
18	Gula sayang	[NAME] dibesarkan oleh seorang bangsawan kaya. Pengalaman masa kanak-kanak seperti ini menyebabkan [ENHIM] takut akan hubungan antara pria dan wanita.
19	Anak Smith	[NAME] dijual kepada seorang Smith sejak usia muda untuk bekerja sebagai pekerja anak, tumbuh dengan mendengarkan suara-suara bengkel di tempat kerja dan ingin tumbuh menjadi seorang pandai besi.
20	Satu dengan Laut	[NAME] tumbuh besar di atas perahu dan sangat menyukai air. Masa kanak-kanak seperti itu meninggalkan [ENHIM] dengan fisik yang kuat.
21	Jenius Musik	[NAME] dilahirkan dalam keluarga musisi, mewarisi gen yang sangat baik dan juga seorang jenius yang luar biasa dalam hal musik.
22	Anak Setan	Ibu [NAME] ditipu oleh Iblis Jatuh dan hamil dengan [ENHIM]. [NAME] memiliki darah iblis, sehingga membuat [ENHIM] sulit dilihat dan menjadi subjek diskriminasi.
23	Diberkati	[NAME] lahir di dunia yang penuh keberuntungan, seolah-olah malam adalah siang untuk yang satu ini. Nasib [NAME] sungguh diberkati.
24	pembunuh bintang	[NAME] adalah reinkarnasi dari tujuh bintang pembunuh di langit dan dilahirkan untuk membawa pembantaian ke medan perang.
25	Pemimpin di kalangan Pria	[NAME] sangat cerdas, dia adalah seorang jenius yang unik di muka bumi ini. [NAME] menguasai mata pelajaran apa pun dengan mudah. Sayangnya meskipun [NAME] terlahir dengan disabilitas, khususnya Broken Meridian membuatnya tidak bisa melakukan Latihan.
26	Gembala Muda	[NAME] menggembalakan kawanan tuan tanah sejak usia muda. Namun [NAME] selalu merasa bahwa takdir ini tidak adil dan seseorang ditakdirkan untuk sesuatu yang lebih besar.
27	Semangat yang Kuat	[NAME] dilahirkan dengan kekurangan dalam kecerdasan, akibatnya anak ini tidak berbicara sampai usia lima tahun dan tidak belajar berjalan sampai usia 10 tahun. Namun, orang tua [NAME] melatih kesabaran yang tak terbatas. \nMeskipun [NAME] cukup tidak kompeten ketika kecerdasan dibutuhkan, namun orang ini memiliki minat yang luar biasa dalam belajar apa pun topiknya. [NAME] bersedia melakukan upaya berkali-kali lipat dibandingkan orang lain yang ingin mempelajari suatu topik.
28	Anak Pengemis	[NAME] ditinggalkan sejak kecil dan akhirnya dibesarkan oleh sekelompok pengemis. Saat [NAME] mulai memahami cara hidup dunia, anak ini mulai memohon untuk mencari nafkah. \n Kehidupan mengemis membuat [NAME] melihat ketidakpedulian manusia yang dingin dan juga memungkinkan [ENHIM] menjadi mahir membaca hati orang.
29	Kolektor Kerang	[NAME] dibesarkan di desa nelayan miskin di tepi laut. [NAME] tidak memiliki hiburan apa pun selama masa kanak-kanaknya sehingga satu-satunya hiburan yang muncul adalah mengumpulkan kerang di tepi pantai.
30	Mata-Mata Anak	[NAME] memiliki penampilan yang memikat sehingga dipilih oleh pengadilan untuk menjadi mata-mata politik dan dikirim ke ibu kota musuh untuk melakukan spionase. \n Saat menjalani pelatihan, [NAME] menekankan studi tentang menguping, menyembunyikan metode seseorang, dan bagaimana mengambil risiko jika ketahuan.
31	Putra Tuan Tanah	[NAME] dilahirkan dalam keluarga tuan tanah dan tidak perlu bekerja keras atau belajar tentang hal-hal praktis. \n[NAME] akhirnya menjalin hubungan dengan seorang pelayan sejak usia sangat muda dan menemukan kebahagiaan dalam hal ini, tapi itu juga membuat [ENHIM] menjadi lebih lemah dari sebelumnya.
32	Penjual Bunga	Orang tua [NAME] mengelola toko bunga. [NAME] mulai menjual bunga dari keranjang bunga setelah memahami cara kerja dunia. [NAME] mengembangkan karisma dan menjadi lebih ekstrovert dan bersemangat karena terus-menerus harus berurusan dengan orang-orang di jalan.
33	Masa Kecil yang Bahagia	Orang tua [NAME] merupakan cabang dari keluarga terkemuka. Meski tak punya harapan untuk mewarisi bisnis keluarga, para orang tua [ITS] selalu berpuas diri tanpa khawatir kebutuhan materi tidak terpenuhi. \n Hasilnya, [NAME] dibawa ke mana-mana oleh orang tua yang sama, masa kecil yang cukup membahagiakan.
34	Anak Liar	[NAME] lahir di desa pegunungan, orang tuanya [ITS] menjadi korban serangan serigala sejak dini. \n[NAME] tumbuh dengan semangat yang diberikan oleh orang-orang, meskipun tidak ada seorang pun yang benar-benar peduli terhadap anak tersebut, sehingga hari-hari anak ini dihabiskan di alam liar, menjelajahi pegunungan, atau bahkan di desa. [NAME] tidak pernah memiliki teman saat tumbuh dewasa, selain seekor anjing.
35	Server Anak	[NAME] tumbuh dalam kemiskinan dan dikirim untuk menyajikan minuman beralkohol di kedai minuman setempat sejak usia muda. \nAda banyak pemabuk di kedai sehingga [NAME] sering dipukuli dan dimarahi. Bahkan pernah satu kali kaki [ITS] dipatahkan oleh pelanggan.
36	Anak Petani	Keluarga [NAME] bergantung pada pertanian untuk bertahan hidup. dan dibawa ke ladang sejak usia muda. Hasilnya, [NAME] mempunyai jempol hijau.
37	Anak Petani	Orang tua [NAME] adalah petani penggarap. Mereka mempunyai sebidang tanah dan beberapa ekor babi. [NAME] mulai turun ke sawah membantu menggarap lahan bersama orang tua [ITS] sejak usia sekitar tujuh atau delapan tahun. __NAMA__ merawat babi dan mencari makan sementara ayah [ITS] menanam. \nSuatu saat, saat memberi makan babi, [NAME] tidak memperhatikan dan salah satu dari mereka menggigit jarinya.
38	Anak Petani	Keluarga [NAME] adalah petani penggarap. Sejak awal, pekerjaan bertani sangat merugikan tubuh bapak [ITS] sehingga tidak mampu membayar. Karena tidak ada pilihan lain, [NAME] dijual untuk melunasi utangnya. \nYang [NAME] dijual kepada [ENHIM] yang dihukum dan membuat anak itu bekerja keras.
39	Pemuda yang Mampu	Ada tiga generasi jenderal berturut-turut di keluarga[NAME] sehingga anak ini menjalani pelatihan dan pembelajaran yang sangat melelahkan agar mampu mengharumkan nama keluarga. \nSeparuh masa kecil [ITS] dihabiskan di kamp pelatihan militer, hal ini membuat tulang-tulang [ITS] seolah-olah terbuat dari baja.
40	Keluarga Militer	Ibu [NAME] meninggal dunia sejak dini dan ayahnya adalah seorang veteran kampanye barat selama bertahun-tahun. Setelah aktivitas militer mereda, ayah [ITS] menjadi instruktur militer sehingga [NAME] tinggal di kamp militer dalam waktu yang cukup lama. \nSaat menemani ayah [ITS] untuk menekan beberapa okultis, [NAME] melihat beberapa sihir aneh digunakan dan sebagai hasilnya menjadi sangat tertarik pada Latihan.
41	Anak Serigala	[NAME] dibesarkan oleh seekor serigala dan baru ditemukan pada usia lima tahun ketika beberapa orang menemukan anak tersebut di sarang serigala. [NAME] merasa terasing dalam masyarakat manusia karena tumbuh bersama serigala dan bahkan menghabiskan waktu bertahun-tahun berlatih sebelum dapat berbicara secara normal.
42	Bangsawan yang Jatuh	Keluarga [NAME] pernah terkenal sebagai keluarga arsitek yang terampil. Mereka akhirnya digerebek pada jatuhnya dinasti terakhir dan tidak pernah pulih. Pada saat jatuhnya dinasti, ayah [ITS] disiksa dan dibunuh. Perubahan gaya hidup yang drastis ini membuat [ENHIM] menjadi introvert dan memiliki rasa rendah diri.
43	Yatim piatu	[NAME] adalah anak yatim piatu yang tumbuh dalam bayang-bayang kota, mengemis dan mencuri untuk bertahan hidup. \nHidup bertahun-tahun sebagai gelandangan menyebabkan saraf [ITS] menjadi terlalu sensitif dan tidak bisa tidur dalam waktu lama.
44	Bayi yang Ditinggalkan	[NAME] ditinggalkan begitu saja di tumpukan sampah. Bayi ini ditemukan oleh seorang pemulung yang akhirnya membesarkan [ENHIM]. \nKondisi yang sangat buruk menyebabkan [ENHIM] tertular suatu kondisi yang membuat anak tersebut memiliki prospek kesehatan dan umur panjang yang buruk.
45	Anak Desa	[NAME] lahir di desa pegunungan karena orang tua [ITS] mengungsi ke sana karena kekacauan perang. Oleh karena itu, [NAME] diajari untuk menolak kekerasan dan perang sejak usia muda. Hal ini membuat [ENHIM] sangat tidak menyukai kekerasan fisik dan orang-orang yang menggunakannya.
46	Anak Medan Perang	[NAME] adalah seorang anak yatim piatu yang ditemukan di medan perang. [NAME] dibesarkan oleh seorang perwira dan menjalani pelatihan militer serta mempelajari cara berperang dengan orang dewasa sejak usia muda. \n[NAME] masa kecilnya dihabiskan untuk melatih dan membunuh musuh hingga pasukan disergap. [NAME] cukup beruntung bisa bertahan hidup dan mulai merenungkan makna hidup.
47	Dinasti Sebelumnya	[NAME] tumbuh di rumah bergaya halaman Siheyuan, belajar dan bermain bersama dengan anak-anak dari lingkungan sekitar. \nYang tidak diketahui siapa pun adalah bahwa [NAME] sebenarnya adalah kaisar dari dinasti sebelumnya yang diam-diam menunggu para pemberontak datang menjemput [ENHIM] dan merebut kembali takhta.
48	selamat	[NAME] adalah orang yang selamat dari pembantaian. Ketika [NAME] terbangun karena segunung mayat dan lautan darah, segala sesuatu yang ada di hadapan anak itu menjadi mimpi buruk yang akan menimpa seumur hidup.
49	Cacat Bawaan	Orang tua [NAME] adalah kakak beradik dan karenanya terlahir dengan Cacat Bawaan. Hal ini membuat [ENHIM] lemah dan lemah.
50	Anak Dewasa	[NAME] tumbuh dalam keluarga yang menyediakan sumber daya berlimpah untuk anak-anak. [NAME] akhirnya menjadi populer di kalangan lawan jenis sejak usia muda dan menjadi dewasa lebih cepat dibandingkan rekan-rekannya. Alhasil, memesona ruangan yang penuh orang bukanlah masalah bagi yang satu ini.
51	Gelandangan	Ayah [NAME] secara tidak sengaja membunuh putra seorang pengganggu setempat sehingga harus membawa keluarganya dalam pelarian agar terhindar dari hukuman. \n[NAME] Kenangan masa kecilnya terdiri dari memiliki cukup makanan atau kelaparan saat dalam pelarian.
52	Pencopet	[NAME] harus melakukan beberapa hal buruk untuk bertahan hidup, namun hal itu tidak mencoreng hati nurani orang ini. \n[NAME] jarang mencuri dari orang yang tidak mampu dan sering berbagi rampasan dengan anak-anak yang bahkan lebih muda dari [ENHIM].
53	Penipu	[NAME] adalah anggota sekelompok pencuri. Karena usia dan kecanggungan [ITS], [NAME] sering menjadi sasaran pemukulan dan omelan serta sering ditinggalkan di tempat persembunyiannya untuk mengurus logistik. \nHasilnya, [NAME] selamat dari serangan istana kekaisaran.
54	kelahiran pelana	[NAME] adalah bagian dari suku nomaden. [NAME] tumbuh besar di atas pelana dan telah melakukan perjalanan melintasi padang rumput bersama sukunya. \nPada hari-hari biasa, [NAME] mengawasi kuda-kuda dan memungut kotorannya. [NAME] tidak terlalu menyukai pekerjaan ini. Impian [NAME] adalah menjadi pemburu terkuat.
55	Pengantin Anak	[NAME] dijual kepada tuan tanah untuk dinikahkan dengan putra terbodohnya. Karena kecantikan fisik bawaannya, anak ini memiliki pemahaman yang tajam tentang cara-cara dunia dan sangat dicintai oleh orang lain. \n[NAME] menerima pelatihan yang sangat baik sebagai bagian dari rumah tangga tuan tanah dan juga bijaksana dalam cara merawat rumah. Lingkungan seperti ini menanamkan keanggunan pada pidatonya.
56	Anak Gembala	__NAMA__ adalah bagian dari suku di tepi laut barat. [NAME] menggembalakan ternak bersama anak-anak lainnya. \nAda reruntuhan di dekat padang rumput yang konon berhantu. [NAME] sering menjelajahi reruntuhan saat kawanan domba berada di padang rumput.
57	Yatim Piatu Medan Perang	[NAME] lahir di sebuah kota di perbatasan. Ketika [NAME] masih sangat kecil, orang asing menyerbu dan membantai orang-orang di kota [ITS]. [NAME] beruntung bisa bertahan hidup. \n[NAME] bersumpah sejak kecil untuk bergabung dengan tentara guna membalas dendam. Mengingat hal ini, [NAME] dapat menjalani pelatihan ekstrem.
58	Pemulung	[NAME] kehilangan segalanya karena perang. Jadi tidak ada pilihan selain hidup memulung untuk bertahan hidup. \n[NAME] bertubuh kurus namun lincah karena harus lari dari distrik kaya yang tidak ingin ada orang yang mengais sampah untuk mencari harta atau makanan. Hal ini memungkinkan [ENHIM] untuk mengumpulkan cukup banyak uang sejak dini dan dengan demikian menjadi murid pengrajin.
59	Anak Buddha	[NAME] dibesarkan di kuil dan bertanggung jawab atas lilin yang diletakkan di kaki para Buddha. Bertahun-tahun mendengarkan mantra Buddha memenuhi [ENHIM] dengan pengetahuan dan pemahaman spiritual namun mengisolasi [ENHIM] dari dunia luar.
60	Anak Tao	[NAME] telah menjadi pengikut Tao sejak kecil. Anak itu mengikuti Guru selama bertahun-tahun dan menjalani kehidupan dengan mengamati unsur-unsur. \n[NAME] adalah anak ajaib penuh potensi yang telah terbebaskan sejak usia muda dan belum sadar diri.
61	Biksu Anak	[NAME] adalah seorang biksu cilik yang dibesarkan di kuil. [NAME] selalu menjadi anak yang aktif dan memiliki nafsu makan. Kehidupan di kuil membuat [ENHIM] kekurangan. \n[NAME] mencoba melarikan diri dari kuil beberapa kali, namun selalu ditangkap oleh biksu pejuang.
62	Jenius Puitis	[NAME] adalah orator berbakat dengan ingatan yang luar biasa. [NAME] adalah anak ajaib: pada usia tiga tahun membaca tidak menjadi masalah, pada usia lima tahun anak dapat menulis puisi, dan pada usia tujuh tahun [NAME] dikenal di kalangan puisi. Tidak ada satupun sastrawan di istana yang belum pernah mendengar nama [ITS].
63	Landak Jalanan	[NAME] adalah penjahat sejak awal. Bajingan ini terkenal di seluruh wilayah...sebagai orang yang menyebalkan #$%, tidak masalah jika Anda bertanya kepada orang dewasa atau anak-anak, jawabannya tetap sama. \nSuatu kali, [NAME] lari ke pegunungan. Pada akhirnya [NAME] ditemukan hidup bersama sekawanan kera.
64	Pemuda Pemberontak	Ayah [NAME] adalah seorang akademisi dan sangat ketat dalam pendidikan [ITS] sejak awal. Hal ini memenuhi [ENHIM] dengan semangat memberontak dan mencoba memikirkan segala cara untuk memprovokasi ayah [ITS]. Oleh karena itu, [NAME] ditegur setiap dua hari sekali.
65	Pemuda yang Penuh Semangat	[NAME] adalah anak yang lincah dan ekstrovert. Yang ini tidak takut pada orang asing dan cukup mahir meskipun sudah sedikit lebih tua. [NAME] mempunyai bakat untuk mengobrol dan orang dewasa lebih dari sedikit vokal tentang betapa mereka bosan jika telinga mereka diutak-atik. \n[NAME] memiliki reputasi yang cukup baik di kalangan anak-anak yang tinggal di dekatnya sebagai anak yang suka mengajak anak-anak lain untuk membuat masalah di pedesaan.
66	Pemuda Introvert	[NAME] adalah seorang introvert sejak usia sangat muda. [NAME] tidak mau berbicara dengan siapa pun yang bukan keluarga dekatnya. Anak itu akan menjadi sangat gugup dan gelisah jika ada orang yang mendekat. \n[NAME] bahkan sempat pingsan saat pertama kali bersekolah di rumah karena anak ini menjadi begitu gelisah karena diajak bicara oleh teman sekelas yang tidak dikenal yang dibawa oleh tutornya.
67	Subjek Tes	[NAME] dibawa pergi oleh Sekte Jahat sejak usia muda dan digunakan sebagai target latihan sihir. \n[NAME] kemudian diselamatkan ketika Sekte Adil menyerang dan memusnahkan anggota Sekte Jahat. Sayangnya, tubuh [ITS] tidak pernah sama karena terkena begitu banyak mantra sihir.
68	Penjahat	Ayah [NAME] seperti seorang lalim dan pengganggu setempat. [NAME] belajar dari ayah tersayang dan menyadari betapa menyenangkannya hidup jika menggunakan trik ayah. \n[NAME] membentuk sekelompok pengganggu pada usia tujuh atau delapan tahun dan berkeliling melecehkan pedesaan seperti ayah tercinta. Dan dengan demikian lahirlah teror massa yang baru.
69	Anak Psikis	[NAME] dilahirkan dengan penglihatan astral, memberikan kemampuan untuk melihat apa yang orang lain tidak bisa lihat. Tapi hal ini menyebabkan [ENHIM] menggunakan terlalu banyak vitalitas dalam prosesnya. [NAME] sering jatuh sakit dan akibatnya menjadi lemah. \nPada usia sepuluh tahun, [NAME] bertemu dengan seorang tabib keliling yang menggunakan Akupunktur untuk menutup mata [ITS], yang memungkinkan tubuh [ITS] perlahan menjadi sehat kembali.
70	Menyenangkan	[NAME] terlahir dengan bakat yang tidak biasa, khususnya kemampuan merasakan jiwa orang lain. Hal ini memungkinkan [ENHIM] untuk menjawab sesuai keinginan orang lain. \nMempelajari cara menggunakan kemampuan ini untuk mendapatkan kasih sayang dari orang-orang di sekitar pada usia yang cukup muda.
71	Bantuan Buddha	[NAME] lahir di sebuah desa kecil yang diserang ketika anak tersebut baru berusia tujuh tahun. Seorang biksu tua menyelamatkan [ENHIM], menyampaikan beberapa nasihat yang menginstruksikan [NAME] untuk berlatih Kultivasi setiap hari dan tidak memberi tahu siapa pun.
72	Jenius yang kerdil	[NAME] adalah seorang jenius yang lahir dari keluarga seniman bela diri. Sayangnya [NAME] jatuh sakit karena suatu penderitaan yang aneh pada usia sebelas tahun. Anak itu menjadi lemah dan berlatih Kultivasi menjadi sangat melelahkan. Gadis yang setuju untuk menikah dengan [ENHIM] juga berubah pikiran. \nPerubahan nasib menyebabkan [ENHIM] menjadi letih, namun [ENHIM] bersumpah untuk merebut kembali semua yang telah hilang.
73	Ujian Jenius	[NAME] adalah seorang jenius dalam ujian kekaisaran dan menjadi tutor untuk membantu orang lain melakukan hal yang sama. Sayangnya, setelah beberapa kali tidak diterima. [NAME] sering dipukuli dan dimarahi dengan kemarahan membabi buta. \n[NAME] tidak tahan dan akhirnya memutuskan untuk menyelinap pergi pada suatu malam hujan.
74	Anak Elit yang Kaya	Orang tua [NAME] terkenal di seluruh negeri karena sukses dalam bisnis. Bisnis sedang sibuk dan mereka sering keluar dan mengurus urusan, jadi mereka hanya meninggalkan [ENHIM] dengan sejumlah uang untuk mengurus urusan sehari-hari. \n[NAME] menjadi sombong dan mendominasi sejak awal dan tidak menghormati otoritas.
75	Raja Permainan	[NAME] memiliki kecerdasan tingkat jenius dan menyukai semua jenis permainan. Pada saat [NAME] berumur sepuluh tahun, anak ini sudah ahli dalam permainan apa pun yang pernah didengarnya. Pertarungan kriket adalah permainan yang menarik. [ITS] jeli dalam memilih jangkrik yang akan menang.
76	Kutu buku	Ayah [NAME] telah lulus ujian kekaisaran tetapi tidak pernah bisa menjadi pejabat provinsi dan hidup secara perwakilan melalui [ENHIM], yang menjadi sandaran semua harapannya. \nBuku adalah satu-satunya pendamping anak sejak kecil. Dan itulah sebabnya anak ini menjadi seorang kutu buku yang kurus.
77	Ahli Ketapel	[NAME] sudah terbiasa menggunakan ketapel sejak kecil dan sering menggunakannya pada ayam suku. \nSetelah [IT] sudah sedikit lebih besar, suku tersebut mengirim anak tersebut ke ladang untuk menggunakan keterampilan itu dengan ketapel untuk melindungi dari hewan yang akan mencuri hasil panen mereka.
78	Penderitaan bawaan	[NAME] mempunyai penyakit aneh sejak usia muda yang membuat meridian anak tersebut berantakan, sehingga latihan Kultivasi menjadi tidak mungkin dilakukan. Terlebih lagi, anak tersebut juga rentan pingsan. Setiap kali [NAME] pingsan, aroma aneh akan tercium, namun saat bangun tidur, penyakitnya selalu tampak lebih serius karena anak tersebut menjadi semakin lemah. \n[NAME] tidak dapat melakukan pekerjaan berat apa pun akibat penderitaan yang aneh ini.
79	Anak dari Barat	[NAME] lahir di sebuah kota di perbatasan dari keluarga barbar. Pada usia tujuh tahun, suku [ENHIM] ditaklukkan oleh suku Dataran Tengah dan dijadikan budak. \n[NAME] berada pada posisi paling rendah, dan tidak mampu memahami bahasa orang-orang di Dataran Tengah tidak membantu, malah hanya menciptakan lebih banyak hambatan. Hal ini membuat [ENHIM] menjadi lebih introvert.
80	Pangeran	[NAME] adalah salah satu pangeran dari dinasti saat ini. Oleh karena itu, pendidikan dan pelatihan yang melelahkan untuk memahami pertikaian adalah hal biasa. \nSaat remaja, [NAME] dijebak oleh putra sulung Kaisar. Untuk melarikan diri dari istana hidup-hidup [NAME] berpura-pura mati.
81	Kaisar Boneka	[NAME] naik takhta pada usia tiga tahun sebelum menghabiskan waktu bertahun-tahun menikmati sanjungan dari para penjilat istana. Selama ini bupati mereka mengendalikan segalanya dari balik layar. \nKetika [NAME] menginjak usia tiga belas tahun, Bupati [ITS] melakukan kudeta. [NAME] lolos dengan bantuan... Namun kehidupan mewah [ITS] telah berakhir.
82	Prajurit Anak	[NAME] lahir di dunia yang kacau, banyak panglima perang yang tidak membiarkan seorang anak pun bebas. Dan dengan cara itulah [NAME] dipaksa untuk bertugas. \n[NAME] mengikuti pasukan di sekitar daratan, melakukan tugas-tugas yang diperlukan. Panglima perang itu akhirnya dikalahkan dan anak ini akhirnya bebas.
83	Yatim Piatu Tambang	Orang tua [NAME] adalah penambang sehingga [NAME] dibesarkan di sebuah gudang pertambangan. \nSampai terjadi kecelakaan pertambangan yang merenggut kasih sayang ayah dan ibu anak ini. Untuk bertahan hidup, [NAME] dipaksa bekerja di tambang dengan Beliung di tangan.
84	Pencopet	Ayah [NAME] adalah seorang gangster yang menjalani hidupnya dengan berjudi dan mencuri. Tumbuh dalam lingkungan yang diberikan oleh teladan seperti ini secara alami membuat [NAME] mengharapkan sesuatu secara cuma-cuma dan dengan demikian juga beralih ke pencurian. \n[NAME] muncul menipu orang lain dan menyebabkan mereka lengah. Alhasil, [IT] banyak mendapat latihan sejak kecil.
85	Pencopet	[NAME] diculik dan dijual kepada sekelompok pencuri di usia muda. \nSaat mencuri, suatu kali [NAME] menyelipkan catatan meminta bantuan ke dalam saku target dan pihak berwenang diberi tahu. Kelompok pencuri ditangkap dan [NAME] berhasil diselamatkan.
86	Pemuda Penyandang Cacat	[NAME] kehilangan telinga dan lengannya karena babi hutan ketika masih kecil. [NAME] beruntung bisa bertahan hidup, namun tidak akan pernah sama lagi. \n[NAME] tidak berkecil hati dengan hal ini, malah menjadikan pengalaman ini sebagai alasan untuk berlatih lebih keras lagi. Pada usia sepuluh tahun, [NAME] berpikir bahwa pelatihan [ITS] sudah cukup untuk pergi ke pegunungan untuk membalas dendam pada babi hutan. Sayangnya [IT] tidak meninggalkan gunung tanpa patah kaki [ITS] terlebih dahulu. [IT] tidak dapat pulih dari kemunduran ini.
87	Pemuda Penyandang Cacat	[NAME] terjangkit suatu penyakit aneh yang menyebabkan pada usia sepuluh tahun anak tersebut tidak terus bertumbuh sehingga selamanya tampak seperti anak-anak. \nHal ini memberikan [ENHIM] cukup banyak masalah karena [ENHIM] tidak mampu menjaga diri sendiri seperti orang dewasa pada umumnya.
88	Bisu	[NAME] pernah mengalami demam tinggi ketika masih muda yang menyebabkan [ENHIM] mengalami kerusakan otak. Hal ini menyebabkan [ENHIM] mengalami beberapa kekurangan mental, seperti hilangnya kemampuan untuk berbicara. \n[NAME] akibatnya merasa sedih dan menghabiskan setiap hari dengan bermain kaligrafi dan permainan untuk menghilangkan rasa sakit karena kehilangan.
89	Kambing hitam	[NAME] adalah anak dari penjaga gerbang rumah seorang jenderal. Pada usia sepuluh tahun, sang jenderal terjebak dalam kekacauan politik dan akhirnya dianiaya. Agar dapat melanjutkan garis keturunannya, sang jenderal meminta [NAME] sebagai pengganti Tuan Muda. \n[NAME] tidak mau mati karena hal ini dan membunuh Tuan Muda selama kekacauan dan melarikan diri.
90	Pemuda Kultivator	[NAME] lahir di sebuah desa kecil yang memiliki Sekte di dekatnya yang dikenal sebagai Gerbang Hitam. [NAME] dipilih untuk melayani sebagai murid luar sejak usia muda. \nMeskipun [IT] kemudian dikeluarkan, namun tahun-tahun yang dihabiskan sebagai murid luar meninggalkan [ENHIM] dengan dasar pengetahuan Praktek yang terbukti cukup berguna.
91	Anak Kedokteran	[NAME] menemani seorang tabib tua dan bertanggung jawab mengambil obat dan menulis resep. \nSuatu kali [NAME] salah meminum dosis dan pasien hampir kehilangan nyawanya. Akibatnya [NAME] ditinggalkan oleh tabib tersebut.
92	Kronis Tidak Valid	[NAME] lahir prematur sehingga lemah. Anak tersebut sering sakit dan lambat sembuhnya apa pun penyakitnya. Oleh karena itu, [NAME] menghabiskan masa kecilnya dengan minum obat.
93	Anak Tundra	__NAMA__ adalah bagian dari suku yang tinggal di perbatasan utara. Salju lebat menutupi daratan di musim dingin dan memancing serta berburu di es adalah satu-satunya cara agar suku tersebut dapat bertahan hidup. \n[NAME] menunjukkan bakat berburu sejak usia muda. [NAME] sering kali pergi berburu kelinci, rubah, dan hewan liar lainnya di tundra.
