ID	Name	Desc	sParam1	sParam2
123	Menyerang	Sekelompok pembudidaya Yaoguai gila mencoba menyerang sekte Anda.		
124	Permohonan Perlindungan	Yaoguai yang baru saja berubah bentuk mencari perlindunganmu, berharap bisa selamat dari Kesengsaraan Surgawi Perubahan Bentuk dengan bantuanmu.		
125	Hewan Bergabung	Seekor kucing telah datang ke sekte Anda, sepertinya dia senang berada di sini.		
126	Hewan Bergabung	Seekor ayam telah datang ke sekte Anda, sepertinya dia senang berada di sini.		
127	Hewan Bergabung	Seekor banteng telah datang ke sekte Anda, sepertinya senang berada di sini.		
128	Hewan Bergabung	Seekor kura-kura telah datang ke sekte Anda, sepertinya dia senang berada di sini.		
129	Hewan Bergabung	Seekor kelinci telah datang ke sekte Anda, sepertinya dia senang berada di sini.		
130	Hewan Bergabung	Seekor katak telah datang ke sekte Anda, sepertinya dia senang berada di sini.		
1000	Naga Melewati			
1001	Semburan Qi			
1002	Phoenix Melewati			
10000	Pembentukan	Kami hidup dalam pengasingan di sini, mencoba memulai kembali kultivasi kami. Kami juga mendirikan sekte kecil kami sendiri. Akankah ini menjadi awal dari legenda baru?\n\n[color=#D06508]Membuka dekorasi.\nMembuka lebih banyak bangunan.[/color]		
10001	Terkenal	Sekte kami secara bertahap mendapatkan ketenarannya, dan ini bukanlah tugas yang mudah. Mari kita lanjutkan membangunnya menjadi sekte yang lebih besar.\n\n[color=#D06508]Populasi maksimum sekte ini telah ditingkatkan.[/color]		
10002	Terkenal	Sekte kami telah mendapatkan keunggulannya di dunia kultivator. Ini telah menjadi tempat praktik yang diimpikan semua orang untuk bergabung.\n\n[color=#D06508]Populasi maksimum sekte ini telah ditingkatkan.\nAnda dapat mendirikan cabang baru melalui Struktur Sekte.		
10003	Pemimpin Baru	[NAME] telah menjadi pemimpin sekte kami. Yang satu ini pasti akan membawa kita semua menuju keabadian.		
10004	Kurangnya Pemimpin	Kami membutuhkan seseorang untuk menjadi pemimpin sekte kami.\n[color=#D06508]Anda dapat memilih pemimpin sekte melalui [Struktur Sekte] di menu Sekte.[/color]		
10005	Murid yang Direkomendasikan	Murid yang direkomendasikan hampir tiba.		
10006	Hindari Kerusuhan	Karena Anda melarikan diri dengan tergesa-gesa, Anda tidak membawa banyak sumber daya. Anda telah melarikan diri selama beberapa hari, dan hal ini menghabiskan hampir seluruh energi Anda.\nTanpa pilihan lain, Anda harus tetap di sini dan memulihkan diri untuk saat ini.		
10007	Mapan	Api unggun yang hangat membantu meredakan ketegangan dan kegelisahan Anda. Setelah diskusi singkat, Anda memutuskan bahwa Anda cukup jauh dari bahaya, jadi Anda harus mendirikan perkemahan sementara di sini.\n\n[color=#D06508]Bangunan Struktural Tidak Terkunci\nPerabotan Dasar Tidak Terkunci\nStasiun Kerja Dasar Tidak Terkunci\nPapan Lantai dan Atap Tidak Terkunci[/color]		
10008	Puas	Meskipun Anda masih menderita karena kehilangan murid dan guru senior Anda, Anda perlahan-lahan mulai tenang. Menyadari bahwa ini adalah tempat yang sangat terpencil dan orang-orang yang mengejar Anda sepertinya sudah menyerah, Anda memutuskan untuk tinggal di sini setelah berdiskusi kecil.\n\n[color=#D06508][/color]		
10009	Rumah Baru	Anda sepertinya sudah terbiasa dengan kehidupan di sekitar sini. Meski tidak senyaman saat masih di sekte lama, namun kehidupan di sini masih cukup mandiri. Mengapa ini tidak bisa juga menjadi bentuk budidaya?\nIni adalah rumah baru di tengah segala kekacauan dan kerusuhan. Akankah ini menjadi awal yang baik juga? Semua orang penuh harapan.\n\n[color=#D06508]Perabotan Tingkat Lanjut Tidak Terkunci\nStasiun Kerja Tingkat Lanjut Tidak Terkunci[/color]		
10010	Murid Luar yang Lolos	Murid luar Anda [NAME] telah melarikan diri pada malam hari karena [IT] tidak tahan lagi tinggal di sini.		
10011	Kultivator Lagi	Seseorang di antara kita telah menerobos!\nOrang ini tiba-tiba dapat merasakan energi yang kuat antara langit dan bumi: \nQi.\nGerbang kultivasi akhirnya terbuka untuk kita.\n\n[color=#D06508]Qi telah terlihat.\nAnda dapat mendirikan sekte sekarang.[/color]		
10012	Keberangkatan	Saya tidak tahu kesalahan apa yang saya lakukan, tetapi karena Anda telah memintanya, saya akan melanjutkan perjalanan. Terima kasih semuanya atas kebaikan Anda beberapa hari terakhir ini.\n[TXT] Saya senang bisa tinggal dan bekerja bersama Anda.		
10013	Ramalan	Prediksi [NAME] untuk masa depan adalah:\n[TXT]		
10014	Peti Mati Batu Bersinar	Malam ini bulan purnama. Peti batu yang diberikan oleh pendeta Tao itu tiba-tiba bersinar di tengah malam, dan kemudian sebuah celah muncul. Tampaknya Anda bisa dengan mudah membukanya.		
10015	Hukum Budidaya Diperoleh	Anda telah memperoleh Hukum budidaya baru: [TXT]		
10016	Sistem Budidaya Tidak Terkunci	Anda telah memperoleh Hukum budidaya pertama Anda. Anda sekarang memenuhi syarat untuk melanjutkan kultivasi Anda. Hukum kultivasi akan penuh dengan kesulitan, namun hidup di masa sulit dapat menjadi sumber kesengsaraan yang tak ada habisnya, dan anda selalu hanyut. Mungkin menemukan Hukum kenaikan adalah satu-satunya cara untuk melepaskan diri dari semua masalah duniawi. \n\n[color=#D06508]Membuka kunci sistem budidaya.\nMembuka kunci bangunan untuk budidaya.\n(Lihat semua Hukum di menu Sekte)[/color]		
10017	Invasi Musuh	Sekelompok orang yang penuh permusuhan muncul di dekat sini.		
10018	Kenaikan	[NAME] telah melewati semua kesulitan dan akhirnya naik ke atas alam ini, hanya menyisakan tubuh fana yang abadi untuk disembah oleh generasi mendatang.\nSebuah puisi sebagai bukti:\n[color=#D06508]Dari kekacauan yang terpilah di alam semesta, manusia pertama lahir. Kesatuan muncul sebelum dualitas, dan Empat Simbol menjaga bumi.\nSang dewi memberi kehidupan pada semua ciptaan dari tanah liat, sementara Yang Maha Cerah melukiskan gambaran yang memisahkan Yin dan Yang.\nSeratus tahun penanaman berlalu sementara para prajurit bertempur dalam pertempuran yang tak terhitung jumlahnya. Seribu tahun lagi hanyalah sekejap mata dalam meditasi.\nSaya tidak akan berkata apa-apa lagi karena Kesengsaraan Surgawi datang untuk membawa saya pergi. Semua masalah duniawi akan hilang bersama angin setelah saya meninggalkan alam eksistensi ini.[/color]		
10019	Menyerang	[TXT] telah mengirimkan sekelompok murid elit untuk membalas dendam.		
10020	Menyerang	[TXT] telah mengirim murid senior untuk membalas dendam.		
10021	Menyerang	[TXT] telah mengirimkan tetua sekte yang berpengalaman untuk membalas dendam.		
10022	Api Kemarahan	Perilaku Anda telah membuat marah [TXT], dan mereka akan segera mengambil tindakan.		
10023	Hari Kesengsaraan	Budidaya [NAME] telah mencapai batasnya. Kesengsaraan Surgawi akan segera terjadi!		
10024	Abadi yang Misterius	Selama beberapa hari, Anda bersembunyi di siang hari dan melakukan perjalanan di malam hari, akhirnya sampai di jurang terpencil. Saat Anda hendak bersantai, cahaya teleportasi tiba-tiba muncul, menunjukkan kontur seorang kultivator.		
10025	Abadi yang Misterius	Kultivator misterius itu melihat sekeliling sambil berpikir keras, dan kemudian menghilang ke dalam cahaya teleportasi lainnya.		
10026	tutorial	Selamat! Anda telah menguasai fitur dasar Simulator Budidaya Luar Biasa.\nSelanjutnya, Anda dapat membuat karakter Anda sendiri di Klasik dan memulai perjalanan kultivasi yang sebenarnya.\nNikmati permainannya!		
10027	Binasa	Ini saat yang buruk. Hukum anda dalam berkultivasi belum dimulai dan belum berakhir. Yang tersisa hanyalah daratan dan lautan luas yang akan menghapus kesedihanmu.		
10028	Hancur	[TXT] Yang tersisa hanyalah daratan dan lautan luas yang akan menghapus kesedihanmu.		
10029	Awal yang Baru	Seorang pengelana yang bersembunyi di pegunungan menemukan reruntuhan tersebut. Karena tidak punya tempat lain untuk dituju, [IT] memutuskan untuk tinggal di sini sekarang.		
10030	Abadi yang Misterius	Kamu merasakan kehadiran yang lembut dan hangat yang berhenti di sisimu untuk beberapa saat, sebelum perlahan menjadi lemah dan akhirnya menghilang, seolah-olah tidak pernah ada di sini...		
10031	Diberkati	[TXT] menjadi diberkati, dan tiba-tiba mendapat banyak ketenaran dan berubah drastis.		
10032	Linglung	[NAME] harus segera kembali untuk meditasi karena terlalu lama dikirim ke luar sekte.		
10033	Terluka	[NAME] harus kembali ke sekte untuk memulihkan cedera mereka selama ditempatkan.		
10034	Memadukan	Setelah menghabiskan sedikit waktu untuk hidup bersama, [NAME] telah sepenuhnya berbaur dengan anggota sekte lainnya.		
10035	Gelisah	Merasakan kehadiran seorang kultivator dengan Inti Emas, [NAME] yang tinggal di sini sepertinya sedikit gelisah...		
10036	Menyerang	Untuk mencegah Anda berkembang, [NAME] yang tinggal di sini telah menyerang.		
10037	Gelisah	Merasa bahwa sekte Anda mungkin bukan ancaman potensial, [NAME] yang tinggal di sini berkonspirasi melawan Anda...		
10038	Menyerang	Tak mampu lagi menahan godaan darah dan daging, [NAME] yang tinggal disini telah menyerang.		
10039	Berkembang	Dipengaruhi oleh cuaca dan Qi, [NAME] telah diberkati dan diubah menjadi binatang buas.		
10040	Jahat	[NAME] datang ke tempat ini dan tiba-tiba merasakan sesuatu yang menyeramkan, seolah-olah ada makhluk jahat yang tinggal di dekatnya.		
10041	Gua Misterius	Gempa bumi yang semakin sering terjadi di sekte Anda tiba-tiba berhenti baru-baru ini, dan pada saat yang sama, sebuah gua misterius muncul di tanah.\nPara pembudidaya kuno mulai lebih sering muncul di alam ini. Mungkin Anda bisa menanyakan informasi kepada mereka.		
10042	Mengancam	Gua misterius itu tiba-tiba menjadi mengancam, dan ia ingin Anda mengorbankan [TXT].		
10043	Dikorbankan	Anda menyelesaikan ritual di depan gua, dan makhluk misterius itu sangat puas.		
10044	Hujan badai	Makhluk misterius di dalam gua itu sangat marah, dan hujan badai datang dengan raungannya yang sangat marah.		
10045	Kekeringan Qi	Makhluk misterius di dalam gua itu sangat marah, dan tarikan kuat dari gua menyedot semua Qi di sekitar tempat itu.		
10046	Malam Kutub	Makhluk misterius di dalam gua itu sangat marah, dan malam kutub dimulai sebagai akibat dari kemarahannya.		
10047	Invasi Binatang Buas	Makhluk misterius di dalam gua sangat marah, dan menarik beberapa binatang untuk menyerang sekte Anda.		
10048	Fajar Kemarahan	Makhluk misterius di dalam gua itu sangat marah, dan menyemburkan semburan air yang merusak permukaan tanah.		
10049	Lahirnya Naga	Makhluk misterius di dalam gua tidak dapat menahan amarahnya lagi. Dengan suara keras yang bisa menyebar ribuan mil, seekor binatang raksasa muncul dari tanah.		
10050	Panas Ekstrim	Untuk alasan yang tidak diketahui, suhu rata-rata di alam ini tiba-tiba meningkat cukup tinggi. Kenaikan suhu ini jauh melampaui perubahan cuaca normal. Ini mungkin mengindikasikan sesuatu yang tidak biasa.		
10051	Monster yang Tidak Tertekuk	Kekeringan ekstrim telah membuat monster menjadi gila, dan beberapa monster yang tidak berdaya telah muncul di dekat sekte tersebut.		
10052	Sayap Berkobar Jatuh	Gelombang panas menyapu langit, dan sesuatu yang aneh jatuh.		
10053	Kekeringan yang Berkepanjangan	Panas yang terus berlanjut telah menyebabkan kekeringan. Anda merasakan suhu meningkat semakin tinggi. Jika Anda tidak mengambil tindakan sekarang, situasinya mungkin akan bertambah buruk.		
10054	Binatang yang Tidak Tertekuk	Beberapa binatang menjadi gila karena ketakutan, dan mereka bahkan meninggalkan wilayah mereka sendiri untuk membuat kekacauan di mana-mana.		
10055	Sayap Berkobar Jatuh	Gelombang panas menyapu langit, dan sesuatu yang aneh jatuh.		
10056	Suara Melengking	Setelah mengucapkan mantra untuk mengusir kekeringan yang berkepanjangan, Anda mendapati bahwa dunia tampak menjadi sangat menakutkan selama satu jam. Beberapa saat kemudian, sekawanan besar burung tiba-tiba terbang dari pegunungan terpencil. Suara melengking dan seram memecah kesunyian.		
10057	Phoenix	Phoenix ada di sini.		
10058	Malam Kutub Dimulai	Untuk alasan yang tidak diketahui, alam tiba-tiba kehilangan keseimbangan Yin dan Yang. Malam yang gelap menyelimuti area sekitar sekte Anda.		
10059	Telur Yin	Beberapa telur aneh tiba-tiba muncul di dekat sekte Anda di tengah malam. Ada sesuatu yang menetas di dalam diri mereka...		
10060	Hari Kutub Dimulai	Untuk alasan yang tidak diketahui, alam tiba-tiba kehilangan keseimbangan Yin dan Yang. Saat itu tengah hari di daerah sekitar sekte Anda... Anda tidak tahu berapa lama kekacauan ini akan berlanjut.		
10061	Telur Yang	Beberapa telur aneh tiba-tiba muncul di dekat sekte Anda di tengah hari. Ada sesuatu yang menetas di dalam diri mereka...		
10062	Lahirnya Naga Obor	Kekacauan Yin dan Yang yang terus berlanjut akhirnya mencapai batasnya. Sambil menghela nafas panjang, makhluk raksasa mulai muncul di dunia nyata.		
10063	Kekacauan Obor Naga	Saat telur aneh mulai menetas, Yin dan Yang dari alam ini perlahan kehilangan keseimbangan.		
10064	Kekacauan Obor Naga	Saat telur-telur aneh itu dihancurkan, Yin dan Yang dari alam ini perlahan-lahan kehilangan keseimbangan.		
10065	Perubahan Drastis	Tiba-tiba terjadi ledakan Qi di Dataran Tengah. Seiring berjalannya waktu, masyarakat mulai menyadari bahwa skala dan intensitas ledakan tersebut melampaui ekspektasi. Ini telah menyebar dari titik ledakan pusat selama lebih dari sebulan, membuktikan bahwa itu sebenarnya adalah perubahan drastis yang akan mempengaruhi semua kultivator.\nSekarang, pengaruh ledakan telah mencapai sekte Anda. Saat semua orang menikmati Qi yang melimpah, Anda bertanya-tanya apa arti perubahan drastis ini bagi Anda semua...		
10066	Gelombang Seribu Tahun	Sudah berhari-hari sejak ledakan Qi selesai menyebar ke seluruh dunia. Dari membaca dokumen-dokumen lama, sekte-sekte terkenal akhirnya memutuskan bahwa gelombang Qi-lah yang melonjak setiap 3.000 tahun. Para penggarap kuno yang tertidur karena berbagai alasan mulai dihidupkan kembali satu per satu oleh Gelombang Seribu Tahun.\nTanpa tatanan dan aturan saat ini, para penggarap di zaman dahulu percaya pada hukum rimba. Para kultivator dengan kepercayaan kuno dan pengalaman panjang dalam berkultivasi ini telah menyebabkan kekacauan di dunia kultivator hanya dalam beberapa hari...		
10067	Bencana di Wild South	Sebuah bencana misterius terjadi baru-baru ini di pegunungan di perbatasan utara. Dikatakan bahwa tanah dan gunung berguncang selama satu menit, dan suaranya sangat keras hingga menyebar ribuan mil. Ketika para penggarap terdekat tiba, mereka hanya menemukan semua gunung tenggelam dalam air, dengan Qi yang kuat dan tidak menyenangkan merembes ke area tersebut.\nTampaknya beberapa binatang purba langka dan sulit ditangkap yang bersembunyi di pegunungan dan danau terpengaruh oleh Gelombang Seribu Tahun dan menjadi aktif kembali.		
10068	Kebisingan Bawah Tanah	Gelombang Seribu Tahun telah berlalu. Dalam waktu kurang dari sebulan, para pembudidaya kuno dihidupkan kembali, dan binatang buas kuno mulai aktif kembali... Dunia para pembudidaya dihadapkan pada perubahan drastis. Seiring berjalannya waktu, dunia kultivator secara bertahap mendapatkan kembali kedamaian dan keseimbangannya. Segalanya tampak kembali ke jalurnya.\nNamun, guncangan bawah tanah mulai sering terjadi di sekte Anda. Anda tidak tahu apa yang sedang terjadi...		
10069	Invasi terhadap Penggarap Kuno	Kultivator kuno ini telah berhasil menemukan sekte Anda setelah penyelidikan yang cermat.		
10070	Binatang Bangkit	Binatang buas yang menempati tanah ini telah bangkit.		
10071	Kesengsaraan Naga	Kekuatan Kesengsaraan Surgawi telah membunuh semua Naga Banjir yang belum lahir...		
10072	Gangguan Dunia Lain	Ada pembicaraan bahwa Otherworld Rift tiba-tiba terbuka akhir-akhir ini dan beberapa harta karun terbang keluar darinya, tersebar ke seluruh dunia. Anda merasakan sesuatu yang aneh sedang terjadi. Tampaknya Anda memiliki hubungan spiritual dengan harta karun ini dan diperlukan pencarian yang cermat.		
10073	Gangguan Dunia Lain	Ada pembicaraan bahwa Otherworld Rift tiba-tiba terbuka akhir-akhir ini dan beberapa harta karun terbang keluar darinya, tersebar ke seluruh dunia. Anda merasakan sesuatu yang aneh sedang terjadi. Tampaknya Anda memiliki hubungan spiritual dengan harta karun ini dan diperlukan pencarian yang cermat.		
10074	Gangguan Dunia Lain	Ada pembicaraan bahwa Otherworld Rift tiba-tiba terbuka akhir-akhir ini dan beberapa harta karun terbang keluar darinya, tersebar ke seluruh dunia. Anda merasakan sesuatu yang aneh sedang terjadi. Tampaknya Anda memiliki hubungan spiritual dengan harta karun ini dan diperlukan pencarian yang cermat.		
10075	Gangguan Dunia Lain	Ada pembicaraan bahwa Otherworld Rift tiba-tiba terbuka akhir-akhir ini dan beberapa harta karun terbang keluar darinya, tersebar ke seluruh dunia. Anda merasakan sesuatu yang aneh sedang terjadi. Tampaknya Anda memiliki hubungan spiritual dengan harta karun ini dan diperlukan pencarian yang cermat.		
10076	Keberangkatan	Mengapa Anda mengirimkan saya sebagai hadiah ke [TXT]?		
10077	Kenaikan	[NAME] telah mencapai keilahiannya dan kehilangan semua perasaan dan emosi. Dengan terputusnya setiap hubungan dan koneksi manusia, [IT] telah sepenuhnya berubah menjadi dewa di alam ini.		
10078	Kecaman dari Merchant Union	Karena perilaku kasar Anda, Merchant Union telah memutuskan untuk melarang Anda dari daftar perdagangan mereka selamanya.		
10079	Pembalasan dendam	Teman dan tetua [TXT] datang ke sekte Anda dengan ekspresi marah dan agresif, meminta penjelasan dan permintaan maaf Anda.		
10080	Pembalasan dendam	[TXT] telah mengkhianati sekte mereka sendiri karena Anda. Teman lama dan orang tua mereka sangat marah dan akan datang meminta penjelasan dan permintaan maaf Anda.		
10081	Koneksi	Murid [TXT] telah mengkhianati sekte mereka karena Anda, tetapi karena Anda memiliki hubungan yang baik satu sama lain, tetua senior mereka telah memerintahkan untuk tidak melanjutkan masalah ini.\n(Koneksi dikurangi)		
10082	Koneksi	Murid [TXT] telah mengkhianati sekte mereka karena Anda, tetapi karena Anda memiliki hubungan yang baik satu sama lain, mereka berusaha untuk tidak melanjutkan masalah ini. Namun bantuan yang mereka berikan kepada Anda mungkin tidak cukup untuk menghentikan mereka untuk tetap diam.\n(Koneksi dikurangi)		
10083	Kunjungan dari Merchant Union	[NAME] dari Merchant Union datang berkunjung, dan dia akan tinggal di sini selama satu hari.		
